Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
234,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,24-356,2000,7.3,0,1,1,100.0,0.14,0.14,0.00,0.00,7.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
235,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34-242,1990,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
236,Christoph Baumgartner,at AUT,MF,RB Leipzig,de Bundesliga,25-182,1999,10.8,2,19,9,47.4,1.76,0.83,0.11,0.22,12.8,0,0,0,2.4,2.4,0.13,-0.4,-0.4,Matches
237,Rafael Bauza,es ESP,MF,Espanyol,es La Liga,20-000,2005,1.9,0,3,0,0.0,1.55,0.00,0.00,,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
238,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,27-235,1997,6.3,2,14,4,28.6,2.23,0.64,0.14,0.50,18.6,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Matches
239,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,es La Liga,29-356,1995,8.3,1,18,10,55.6,2.16,1.20,0.06,0.10,20.0,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches
240,Timo Becker,de GER,DF,Holstein Kiel,de Bundesliga,27-311,1997,14.5,0,11,4,36.4,0.76,0.28,0.00,0.00,17.2,1,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
241,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,28-293,1996,18.8,2,4,2,50.0,0.21,0.11,0.50,1.00,17.7,0,0,0,0.6,0.6,0.15,+1.4,+1.4,Matches
242,Donny van de Beek,nl NED,"MF,FW",Girona,es La Liga,27-287,1997,11.6,2,12,3,25.0,1.04,0.26,0.17,0.67,13.5,0,0,0,1.2,1.2,0.10,+0.8,+0.8,Matches
243,Kevin Behrens,de GER,FW,Wolfsburg,de Bundesliga,33-362,1991,1.2,1,6,2,33.3,4.91,1.64,0.17,0.50,11.6,0,0,0,1.3,1.3,0.21,-0.3,-0.3,Matches
244,Maximilian Beier,de GER,"FW,MF",Dortmund,de Bundesliga,22-105,2002,10.5,3,17,5,29.4,1.62,0.48,0.18,0.60,13.6,0,0,0,3.0,3.0,0.17,0.0,0.0,Matches
245,Ismael Bekhoucha,ma MAR,MF,Getafe,es La Liga,20-071,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
246,Reda Belahyane,ma MAR,MF,Hellas Verona,it Serie A,20-243,2004,17.4,0,5,1,20.0,0.29,0.06,0.00,0.00,24.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
247,Haris Belkebla,dz ALG,MF,Angers,fr Ligue 1,31-002,1994,14.0,0,3,0,0.0,0.21,0.00,0.00,,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
248,Yassin Belkhdim,fr FRA,"MF,FW",Angers,fr Ligue 1,22-351,2002,7.3,0,6,3,50.0,0.82,0.41,0.00,0.00,18.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
249,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,33-159,1991,12.5,0,8,2,25.0,0.64,0.16,0.00,0.00,11.0,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
250,Raoul Bellanova,it ITA,DF,Torino,it Serie A,24-258,2000,1.0,0,1,0,0.0,1.03,0.00,0.00,,8.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
251,Raoul Bellanova,it ITA,DF,Atalanta,it Serie A,24-258,2000,15.2,0,13,4,30.8,0.85,0.26,0.00,0.00,16.0,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
252,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,eng Premier League,26-217,1998,9.6,1,12,2,16.7,1.26,0.21,0.08,0.50,22.1,1,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
