Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
341,Brenner,br BRA,"MF,FW",Udinese,it Serie A,25-014,2000,4.3,1,7,4,57.1,1.63,0.93,0.14,0.25,19.8,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
342,Ben Brereton,cl CHI,FW,Southampton,eng Premier League,25-287,1999,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
343,Marco Brescianini,it ITA,MF,Atalanta,it Serie A,25-010,2000,6.3,3,12,5,41.7,1.91,0.80,0.25,0.60,15.6,0,0,0,1.8,1.8,0.15,+1.2,+1.2,Matches
344,Maximilian Breunig,de GER,"FW,MF",Heidenheim,de Bundesliga,24-169,2000,3.9,2,10,2,20.0,2.57,0.51,0.10,0.50,15.2,0,1,1,3.4,2.7,0.27,-1.4,-1.7,Matches
345,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,eng Premier League,26-300,1998,3.5,0,6,4,66.7,1.70,1.13,0.00,0.00,18.2,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
346,Armando Broja,al ALB,FW,Everton,eng Premier League,23-142,2001,1.8,0,4,0,0.0,2.26,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
347,David Brooks,wls WAL,FW,Bournemouth,eng Premier League,27-206,1997,5.6,2,18,9,50.0,3.20,1.60,0.11,0.22,16.4,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
348,Moritz Broschinski,de GER,"FW,MF",Bochum,de Bundesliga,24-129,2000,12.1,1,32,10,31.3,2.65,0.83,0.03,0.10,17.8,0,0,0,3.5,3.5,0.11,-2.5,-2.5,Matches
349,Nathaniel Brown,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21-228,2003,9.0,3,10,5,50.0,1.11,0.56,0.30,0.60,14.2,0,0,0,2.1,2.1,0.21,+0.9,+0.9,Matches
350,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,de Bundesliga,26-133,1998,4.4,2,14,6,42.9,3.15,1.35,0.14,0.33,15.2,0,0,0,2.3,2.3,0.16,-0.3,-0.3,Matches
351,Jacob Bruun Larsen,dk DEN,MF,Stuttgart,de Bundesliga,26-133,1998,2.1,1,2,2,100.0,0.93,0.93,0.50,0.50,21.8,0,0,0,0.2,0.2,0.10,+0.8,+0.8,Matches
352,Tajon Buchanan,ca CAN,"DF,FW",Inter,it Serie A,25-357,1999,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
353,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,33-192,1991,17.2,10,44,14,31.8,2.56,0.82,0.14,0.43,12.7,0,4,4,8.7,5.6,0.13,+1.3,+0.4,Matches
354,Emi Buendía,ar ARG,"MF,FW",Aston Villa,eng Premier League,28-036,1996,1.1,0,5,0,0.0,4.59,0.00,0.00,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
355,Manu Bueno,es ESP,MF,Sevilla,es La Liga,20-187,2004,0.8,1,3,1,33.3,3.65,1.22,0.33,1.00,25.9,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
356,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,26-082,1998,14.8,0,6,3,50.0,0.41,0.20,0.00,0.00,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
357,Marius Bülter,de GER,FW,Hoffenheim,de Bundesliga,31-307,1993,9.0,4,15,7,46.7,1.66,0.77,0.27,0.57,13.5,0,0,0,2.4,2.4,0.16,+1.6,+1.6,Matches
358,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,eng Premier League,20-038,2004,12.7,4,24,10,41.7,1.88,0.79,0.17,0.40,17.4,0,0,0,3.2,3.2,0.13,+0.8,+0.8,Matches
359,Alessandro Buongiorno,it ITA,DF,Napoli,it Serie A,25-238,1999,15.0,1,7,3,42.9,0.47,0.20,0.14,0.33,10.2,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
360,Cameron Burgess,au AUS,DF,Ipswich Town,eng Premier League,29-101,1995,10.0,0,9,1,11.1,0.90,0.10,0.00,0.00,9.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
361,Jonathan Burkardt,de GER,FW,Mainz 05,de Bundesliga,24-203,2000,12.5,12,33,15,45.5,2.64,1.20,0.33,0.73,11.9,0,1,1,8.7,7.9,0.24,+3.3,+3.1,Matches
362,Oliver Burke,sct SCO,"FW,MF",Werder Bremen,de Bundesliga,27-298,1997,1.9,2,11,3,27.3,5.69,1.55,0.18,0.67,12.3,0,0,0,1.6,1.6,0.14,+0.4,+0.4,Matches
363,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,32-266,1992,22.0,0,13,3,23.1,0.59,0.14,0.00,0.00,11.0,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
364,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,it Serie A,20-365,2004,0.2,0,1,0,0.0,4.74,0.00,0.00,,16.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
365,Wes Burns,wls WAL,"FW,DF",Ipswich Town,eng Premier League,30-068,1994,10.3,0,7,1,14.3,0.68,0.10,0.00,0.00,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
366,Marnon Busch,de GER,DF,Heidenheim,de Bundesliga,30-053,1994,7.6,0,7,1,14.3,0.92,0.13,0.00,0.00,27.3,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
367,Gianluca Busio,us USA,MF,Venezia,it Serie A,22-247,2002,17.5,1,23,5,21.7,1.31,0.28,0.04,0.20,19.2,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
368,Aurélio Buta,pt POR,DF,Reims,fr Ligue 1,27-355,1997,13.8,0,6,1,16.7,0.43,0.07,0.00,0.00,21.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
369,Jean Butez,fr FRA,GK,Como,it Serie A,29-236,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
370,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,25-118,1999,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
371,Pau Cabanes,es ESP,"MF,FW",Villarreal,es La Liga,19-348,2005,1.8,1,4,2,50.0,2.21,1.10,0.25,0.50,14.2,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Matches
372,Rémy Cabella,fr FRA,"FW,MF",Lille,fr Ligue 1,34-328,1990,7.7,0,19,6,31.6,2.46,0.78,0.00,0.00,14.7,0,0,0,2.4,2.4,0.12,-2.4,-2.4,Matches
373,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,33-227,1991,16.0,2,10,3,30.0,0.62,0.19,0.20,0.67,11.1,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
374,Liberato Cacace,nz NZL,"DF,MF",Empoli,it Serie A,24-125,2000,10.4,2,16,8,50.0,1.53,0.77,0.13,0.25,15.8,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Matches
375,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,27-213,1997,17.2,1,19,8,42.1,1.10,0.47,0.05,0.13,17.8,1,0,0,2.0,2.0,0.10,-1.0,-1.0,Matches
376,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,27-311,1997,8.1,1,23,10,43.5,2.83,1.23,0.04,0.10,20.3,2,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches
377,Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,23-089,2001,22.6,1,12,2,16.7,0.53,0.09,0.08,0.50,24.6,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
378,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,34-010,1991,4.4,1,4,1,25.0,0.91,0.23,0.25,1.00,23.5,1,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
379,Jens Cajuste,se SWE,MF,Ipswich Town,eng Premier League,25-173,1999,10.7,0,3,0,0.0,0.28,0.00,0.00,,21.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
380,Davide Calabria,it ITA,DF,Milan,it Serie A,28-055,1996,3.5,0,2,0,0.0,0.57,0.00,0.00,,16.6,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
381,Riccardo Calafiori,it ITA,DF,Arsenal,eng Premier League,22-256,2002,8.4,2,7,5,71.4,0.84,0.60,0.29,0.40,13.0,0,0,0,0.7,0.7,0.10,+1.3,+1.3,Matches
382,Luca Caldirola,it ITA,DF,Monza,it Serie A,33-364,1991,5.4,0,2,1,50.0,0.37,0.18,0.00,0.00,9.9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
383,Fernando Calero,es ESP,"DF,MF",Espanyol,es La Liga,29-138,1995,2.5,0,1,0,0.0,0.40,0.00,0.00,,7.3,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
384,Duje Ćaleta-Car,hr CRO,DF,Lyon,fr Ligue 1,28-135,1996,13.9,1,7,1,14.3,0.51,0.07,0.14,1.00,10.4,0,0,0,1.7,1.7,0.25,-0.7,-0.7,Matches
385,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,30-357,1994,9.7,4,18,6,33.3,1.86,0.62,0.06,0.17,30.8,3,3,4,3.6,0.5,0.03,+0.4,+0.5,Matches
386,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,27-320,1997,17.5,3,46,17,37.0,2.63,0.97,0.07,0.18,12.3,0,0,0,6.1,6.1,0.13,-3.1,-3.1,Matches
387,Drissa Camara,ci CIV,"MF,FW",Parma,it Serie A,22-347,2002,2.7,0,11,5,45.5,4.09,1.86,0.00,0.00,20.6,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches
388,Issiaga Camara,gn GUI,MF,Nice,fr Ligue 1,19-363,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
389,Lamine Camara,sn SEN,MF,Monaco,fr Ligue 1,21-029,2004,13.2,2,18,7,38.9,1.36,0.53,0.11,0.29,21.9,2,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches
390,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,26-214,1998,15.5,3,24,10,41.7,1.55,0.64,0.13,0.30,17.2,0,0,0,1.8,1.8,0.07,+1.2,+1.2,Matches
391,Francesco Camarda,it ITA,"FW,MF",Milan,it Serie A,16-326,2008,1.6,0,3,1,33.3,1.86,0.62,0.00,0.00,10.8,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
392,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,22-081,2002,5.8,0,3,0,0.0,0.52,0.00,0.00,,20.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
393,Nicolò Cambiaghi,it ITA,FW,Bologna,it Serie A,24-033,2000,0.2,0,1,0,0.0,6.00,0.00,0.00,,13.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
394,Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,24-345,2000,16.7,2,11,4,36.4,0.66,0.24,0.18,0.50,23.5,0,0,0,0.5,0.5,0.04,+1.5,+1.5,Matches
395,Axel Camblan,fr FRA,"MF,FW",Brest,fr Ligue 1,21-153,2003,0.3,0,1,0,0.0,3.46,0.00,0.00,,16.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
396,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,23-355,2001,12.0,3,30,9,30.0,2.50,0.75,0.10,0.33,16.0,0,0,0,3.9,3.9,0.13,-0.9,-0.9,Matches
397,José Campaña,es ESP,MF,Las Palmas,es La Liga,31-244,1993,8.0,0,3,1,33.3,0.38,0.13,0.00,0.00,43.0,2,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
398,Cole Campbell,us USA,"MF,FW",Dortmund,de Bundesliga,18-345,2006,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
399,Emre Can,de GER,"DF,MF",Dortmund,de Bundesliga,31-018,1994,11.7,2,5,0,0.0,0.43,0.00,0.00,,28.0,0,2,2,1.8,0.2,0.05,+0.2,-0.2,Matches
400,Peio Canales,es ESP,MF,Athletic Club,es La Liga,20-013,2005,0.2,0,1,0,0.0,4.50,0.00,0.00,,27.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
401,Matteo Cancellieri,it ITA,"FW,MF",Parma,it Serie A,22-353,2002,11.1,3,16,5,31.3,1.44,0.45,0.19,0.60,17.7,0,0,0,2.0,2.0,0.13,+1.0,+1.0,Matches
402,Fali Candé,gw GNB,DF,Venezia,it Serie A,27-006,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
403,Antonio Candela,it ITA,DF,Venezia,it Serie A,24-278,2000,11.2,0,5,0,0.0,0.45,0.00,0.00,,19.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
404,Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,27-363,1997,3.8,0,10,3,30.0,2.63,0.79,0.00,0.00,19.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
405,Jaydee Canvot,fr FRA,"DF,MF",Toulouse,fr Ligue 1,18-185,2006,3.9,0,3,1,33.3,0.76,0.25,0.00,0.00,16.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
406,Pierrick Capelle,fr FRA,MF,Angers,fr Ligue 1,37-290,1987,3.2,0,3,0,0.0,0.92,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
407,Gianluca Caprari,it ITA,"MF,FW",Monza,it Serie A,31-184,1993,11.3,2,12,3,25.0,1.07,0.27,0.00,0.00,23.0,1,2,2,2.5,0.9,0.08,-0.5,-0.9,Matches
408,Elia Caprile,it ITA,GK,Cagliari,it Serie A,23-158,2001,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
409,Elia Caprile,it ITA,GK,Napoli,it Serie A,23-158,2001,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
410,Gabin Capuano,fr FRA,FW,Lens,fr Ligue 1,18-279,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
411,Francesco Caputo,it ITA,FW,Empoli,it Serie A,37-177,1987,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
412,Maxence Caqueret,fr FRA,MF,Como,it Serie A,24-350,2000,1.4,0,1,1,100.0,0.70,0.70,0.00,0.00,20.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
413,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,24-350,2000,6.4,0,7,1,14.3,1.10,0.16,0.00,0.00,21.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
414,Andrea Carboni,it ITA,DF,Monza,it Serie A,23-361,2001,16.7,0,4,0,0.0,0.24,0.00,0.00,,16.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
415,Franco Carboni,it ITA,DF,Venezia,it Serie A,21-301,2003,1.8,0,1,0,0.0,0.54,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
416,Valentin Carboni,ar ARG,"MF,FW",Marseille,fr Ligue 1,19-331,2005,1.1,0,2,1,50.0,1.75,0.87,0.00,0.00,21.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
417,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,27-308,1997,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
418,Irvin Cardona,fr FRA,"FW,MF",Espanyol,es La Liga,27-175,1997,6.7,1,10,3,30.0,1.49,0.45,0.10,0.33,17.3,1,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
419,Marc Cardona,es ESP,"FW,MF",Las Palmas,es La Liga,29-206,1995,1.0,0,2,0,0.0,2.00,0.00,0.00,,15.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
420,Sergi Cardona,es ESP,DF,Villarreal,es La Liga,25-206,1999,19.7,1,15,4,26.7,0.76,0.20,0.07,0.25,13.4,0,0,0,1.9,1.9,0.13,-0.9,-0.9,Matches
421,Johnny Cardoso,us USA,MF,Betis,es La Liga,23-132,2001,11.3,0,6,0,0.0,0.53,0.00,0.00,,21.0,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
422,Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,33-022,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
423,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,31-321,1993,9.2,0,4,1,25.0,0.43,0.11,0.00,0.00,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
424,Carmona,es ESP,DF,Sevilla,es La Liga,23-001,2002,19.4,0,12,3,25.0,0.62,0.15,0.00,0.00,27.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
425,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24-213,2000,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
426,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,es La Liga,24-109,2000,5.5,0,3,0,0.0,0.54,0.00,0.00,,18.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
427,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,33-019,1992,6.8,1,3,1,33.3,0.44,0.15,0.33,1.00,3.4,0,0,0,1.3,1.3,0.44,-0.3,-0.3,Matches
428,Fabio Carvalho,pt POR,"FW,MF",Brentford,eng Premier League,22-153,2002,4.8,1,10,4,40.0,2.10,0.84,0.10,0.25,16.1,0,0,0,2.1,2.1,0.21,-1.1,-1.1,Matches
429,William Carvalho,pt POR,MF,Betis,es La Liga,32-298,1992,2.7,0,3,1,33.3,1.09,0.36,0.00,0.00,19.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
430,Marc Casado,es ESP,MF,Barcelona,es La Liga,21-138,2003,14.6,0,13,0,0.0,0.89,0.00,0.00,,23.1,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
431,Nicolò Casale,it ITA,DF,Bologna,it Serie A,26-351,1998,3.9,0,1,0,0.0,0.26,0.00,0.00,,12.9,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
432,Nicolò Casale,it ITA,DF,Lazio,it Serie A,26-351,1998,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,11.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
433,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,32-342,1992,9.3,1,18,5,27.8,1.94,0.54,0.06,0.20,19.4,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
434,Kaelan Casey,eng ENG,DF,West Ham,eng Premier League,20-094,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
435,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,27-176,1997,14.0,1,6,3,50.0,0.43,0.21,0.17,0.33,16.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
436,Josué Casimir,fr FRA,"FW,DF",Le Havre,fr Ligue 1,23-128,2001,8.7,1,9,3,33.3,1.03,0.34,0.11,0.33,14.1,0,0,0,1.2,1.2,0.14,-0.2,-0.2,Matches
437,Federico Cassa,it ITA,"MF,FW",Atalanta,it Serie A,18-364,2006,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
438,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,25-010,2000,16.3,1,10,2,20.0,0.62,0.12,0.10,0.50,23.6,2,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
439,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,29-056,1995,9.0,0,4,2,50.0,0.44,0.22,0.00,0.00,17.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
440,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,26-119,1998,17.6,7,72,24,33.3,4.09,1.36,0.07,0.21,16.5,3,2,3,10.9,8.8,0.12,-3.9,-3.8,Matches
441,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,30-004,1995,16.8,0,4,2,50.0,0.24,0.12,0.00,0.00,18.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
442,Santiago Castro,ar ARG,FW,Bologna,it Serie A,20-123,2004,16.6,6,38,16,42.1,2.29,0.97,0.16,0.38,16.2,0,0,1,4.1,3.3,0.09,+1.9,+2.7,Matches
443,Gaetano Castrovilli,it ITA,"MF,FW",Lazio,it Serie A,27-348,1997,1.6,0,2,0,0.0,1.22,0.00,0.00,,19.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
444,Danilo Cataldi,it ITA,MF,Fiorentina,it Serie A,30-177,1994,9.8,3,11,5,45.5,1.12,0.51,0.27,0.60,23.6,1,0,0,0.9,0.9,0.08,+2.1,+2.1,Matches
445,Catena,es ESP,DF,Osasuna,es La Liga,30-094,1994,19.0,0,9,2,22.2,0.47,0.11,0.00,0.00,10.5,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
446,Maximiliano Caufriez,be BEL,DF,Valencia,es La Liga,27-349,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
447,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,28-176,1996,7.3,0,1,0,0.0,0.14,0.00,0.00,,11.4,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches
448,Abdoulie Ceesay,gm GAM,FW,St. Pauli,de Bundesliga,21-025,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
449,Zeki Çelik,tr TUR,DF,Roma,it Serie A,27-348,1997,14.6,0,7,1,14.3,0.48,0.07,0.00,0.00,13.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
450,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,29-014,1996,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
451,Alberto Cerri,it ITA,FW,Como,it Serie A,28-289,1996,1.0,0,4,1,25.0,4.14,1.03,0.00,0.00,11.2,0,0,0,1.0,1.0,0.25,-1.0,-1.0,Matches
452,Franco Cervi,ar ARG,"FW,DF",Celta Vigo,es La Liga,30-249,1994,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
453,Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,26-353,1998,14.3,0,12,0,0.0,0.84,0.00,0.00,,14.2,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
454,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,de Bundesliga,19-259,2005,3.7,0,1,1,100.0,0.27,0.27,0.00,0.00,14.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
455,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,de Bundesliga,22-063,2002,7.1,1,16,4,25.0,2.24,0.56,0.06,0.25,15.8,1,0,0,2.2,2.2,0.14,-1.2,-1.2,Matches
456,Trevoh Chalobah,eng ENG,DF,Crystal Palace,eng Premier League,25-209,1999,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,+1.8,+1.8,Matches
457,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,25-209,1999,2.0,0,2,0,0.0,1.00,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
458,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,34-307,1990,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
459,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,eng Premier League,27-349,1997,6.8,1,12,3,25.0,1.76,0.44,0.08,0.33,18.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
460,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,30-039,1994,17.0,1,11,1,9.1,0.65,0.06,0.09,1.00,13.6,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
461,Gabriel Charpentier,cg CGO,FW,Parma,it Serie A,25-258,1999,3.0,1,9,4,44.4,2.99,1.33,0.11,0.25,17.6,0,0,0,1.3,1.3,0.15,-0.3,-0.3,Matches
462,Raúl Chasco,es ESP,DF,Valladolid,es La Liga,21-139,2003,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
463,Anrie Chase,jp JPN,DF,Stuttgart,de Bundesliga,20-312,2004,8.2,0,5,0,0.0,0.61,0.00,0.00,,17.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
464,Pep Chavarría,es ESP,DF,Rayo Vallecano,es La Liga,26-295,1998,13.3,0,4,1,25.0,0.30,0.07,0.00,0.00,15.6,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
465,Arthur Chaves,br BRA,DF,Hoffenheim,de Bundesliga,24-001,2001,10.7,0,5,0,0.0,0.47,0.00,0.00,,15.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
466,Jhoanner Chávez,ec ECU,"DF,MF",Lens,fr Ligue 1,22-280,2002,6.6,1,5,3,60.0,0.76,0.45,0.20,0.33,16.4,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
467,Walid Cheddira,ma MAR,FW,Napoli,it Serie A,27-008,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
468,Walid Cheddira,ma MAR,FW,Espanyol,es La Liga,27-008,1998,6.5,1,10,3,30.0,1.53,0.46,0.10,0.33,12.9,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
469,Chema,es ESP,MF,Real Madrid,es La Liga,19-280,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
470,Théo Chennahi,fr FRA,"MF,DF",Montpellier,fr Ligue 1,19-359,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
471,Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,18-046,2006,3.1,0,4,2,50.0,1.28,0.64,0.00,0.00,21.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
472,Rayan Cherki,fr FRA,"FW,MF",Lyon,fr Ligue 1,21-166,2003,9.8,3,22,7,31.8,2.23,0.71,0.14,0.43,16.7,3,0,0,2.0,2.0,0.09,+1.0,+1.0,Matches
473,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,23-085,2001,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
474,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,19-239,2005,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
475,Julián Chicco,ar ARG,MF,Leganés,es La Liga,27-017,1998,2.1,0,2,1,50.0,0.95,0.47,0.00,0.00,18.9,0,0,0,0.4,0.4,0.22,-0.4,-0.4,Matches
