Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-326,1999,18.5,649,611,35,31,1,13,4,3,0,0,0,0,482,3,4,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-120,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-120,1997,8.3,130,117,13,0,2,0,2,0,0,0,0,0,92,0,4,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20-360,2004,0.1,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36-355,1988,7.4,586,569,16,11,0,0,3,4,0,0,0,0,555,1,0,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-270,2006,1.8,111,109,2,2,0,0,0,0,0,0,0,0,92,0,2,Matches
23,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-001,2000,11.9,179,160,17,0,1,2,5,0,0,0,0,0,112,2,7,Matches
24,Che Adams,sct SCO,FW,Torino,it Serie A,28-201,1996,15.8,327,307,19,2,3,4,8,1,0,0,0,0,232,1,11,Matches
25,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25-351,1999,8.6,349,331,17,15,1,0,0,2,0,0,0,0,294,1,6,Matches
26,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-238,2001,10.3,192,178,12,0,1,0,2,2,0,0,0,0,122,2,6,Matches
27,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-128,1997,8.1,656,634,20,11,0,1,0,4,0,0,0,0,606,2,3,Matches
28,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21-059,2003,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
29,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-012,2002,5.5,140,133,5,1,2,1,7,1,2,2,0,0,104,2,9,Matches
30,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,23-029,2002,6.1,192,187,4,0,1,0,18,4,0,0,0,0,144,1,7,Matches
31,Amine Adli,ma MAR,MF,Leverkusen,de Bundesliga,24-265,2000,2.3,120,115,5,0,0,1,11,5,0,0,0,0,92,0,3,Matches
32,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24-185,2000,12.3,792,704,84,39,3,13,56,5,39,17,19,0,643,4,11,Matches
33,Adrián,es ESP,GK,Betis,es La Liga,38-027,1987,2.0,70,54,16,6,0,0,0,0,0,0,0,0,53,0,1,Matches
34,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26-313,1998,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
35,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18-263,2006,0.3,16,16,0,0,0,0,0,0,0,0,0,0,12,0,1,Matches
36,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,28-024,1997,4.2,196,184,10,4,1,1,6,0,6,1,3,0,170,2,2,Matches
37,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26-353,1998,13.5,329,308,18,3,0,4,41,7,0,0,0,0,231,3,18,Matches
38,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27-227,1997,3.0,170,159,11,8,0,6,0,0,0,0,0,0,128,0,3,Matches
39,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-227,1997,14.0,922,842,77,37,3,22,1,4,0,0,0,0,810,3,4,Matches
40,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,19-124,2005,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
41,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-035,2000,13.4,411,305,102,36,0,0,0,0,0,0,0,0,281,4,0,Matches
42,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22-356,2002,11.4,613,594,15,11,2,5,4,4,0,0,0,0,495,4,10,Matches
