Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
23,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-001,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44,Matches
24,Che Adams,sct SCO,FW,Torino,it Serie A,28-201,1996,21,16,1424,15.8,7,2,9,7,0,0,1,0,4.3,4.3,1.6,5.9,13,17,78,0.44,0.13,0.57,0.44,0.57,0.27,0.10,0.37,0.27,0.37,Matches
25,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25-351,1999,13,8,776,8.6,0,3,3,0,0,0,4,0,1.1,1.1,0.7,1.8,5,35,2,0.00,0.35,0.35,0.00,0.35,0.12,0.08,0.21,0.12,0.21,Matches
26,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-238,2001,15,11,926,10.3,2,1,3,2,0,0,3,1,3.9,3.9,1.4,5.4,5,6,47,0.19,0.10,0.29,0.19,0.29,0.38,0.14,0.52,0.38,0.52,Matches
27,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-128,1997,11,8,733,8.1,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,1,20,1,0.12,0.00,0.12,0.12,0.12,0.07,0.00,0.07,0.07,0.07,Matches
28,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21-059,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
29,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-012,2002,10,6,496,5.5,2,3,5,2,0,0,1,0,1.1,1.1,1.9,2.9,23,8,46,0.36,0.54,0.91,0.36,0.91,0.19,0.34,0.53,0.19,0.53,Matches
30,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,23-029,2002,15,6,553,6.1,2,1,3,2,0,0,0,0,1.4,1.4,0.9,2.3,20,8,72,0.33,0.16,0.49,0.33,0.49,0.23,0.15,0.38,0.23,0.38,Matches
31,Amine Adli,ma MAR,MF,Leverkusen,de Bundesliga,24-265,2000,7,2,205,2.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,9,37,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.21,0.18,0.21,Matches
32,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24-185,2000,19,13,1105,12.3,3,4,7,3,0,0,3,1,0.5,0.5,2.1,2.6,22,94,23,0.24,0.33,0.57,0.24,0.57,0.04,0.17,0.21,0.04,0.21,Matches
33,Adrián,es ESP,GK,Betis,es La Liga,38-027,1987,2,2,180,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
34,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26-313,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18-263,2006,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
