Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
400,Peio Canales,es ESP,MF,Athletic Club,es La Liga,20-013,2005,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
401,Matteo Cancellieri,it ITA,"FW,MF",Parma,it Serie A,22-353,2002,20,13,1001,11.1,3,0,3,3,0,0,1,1,2.0,2.0,0.5,2.5,30,20,60,0.27,0.00,0.27,0.27,0.27,0.18,0.05,0.23,0.18,0.23,Matches
402,Fali Candé,gw GNB,DF,Venezia,it Serie A,27-006,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
403,Antonio Candela,it ITA,DF,Venezia,it Serie A,24-278,2000,14,12,1008,11.2,0,1,1,0,0,0,2,0,0.3,0.3,0.8,1.2,12,27,25,0.00,0.09,0.09,0.00,0.09,0.03,0.07,0.11,0.03,0.11,Matches
404,Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,27-363,1997,14,2,342,3.8,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,7,8,43,0.00,0.00,0.00,0.00,0.00,0.13,0.03,0.16,0.13,0.16,Matches
405,Jaydee Canvot,fr FRA,"DF,MF",Toulouse,fr Ligue 1,18-185,2006,6,4,355,3.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,3,17,0,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
406,Pierrick Capelle,fr FRA,MF,Angers,fr Ligue 1,37-290,1987,10,2,292,3.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
407,Gianluca Caprari,it ITA,"MF,FW",Monza,it Serie A,31-184,1993,22,12,1014,11.3,2,1,3,0,2,2,3,0,2.5,0.9,1.5,2.4,27,48,66,0.18,0.09,0.27,0.00,0.09,0.22,0.14,0.36,0.08,0.22,Matches
408,Elia Caprile,it ITA,GK,Cagliari,it Serie A,23-158,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
409,Elia Caprile,it ITA,GK,Napoli,it Serie A,23-158,2001,4,3,325,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
410,Gabin Capuano,fr FRA,FW,Lens,fr Ligue 1,18-279,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
411,Francesco Caputo,it ITA,FW,Empoli,it Serie A,37-177,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
412,Maxence Caqueret,fr FRA,MF,Como,it Serie A,24-350,2000,3,1,128,1.4,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,5,7,1,0.00,0.70,0.70,0.00,0.70,0.01,0.04,0.05,0.01,0.05,Matches
413,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,24-350,2000,9,6,573,6.4,0,0,0,0,0,0,1,0,0.7,0.7,0.4,1.1,14,50,15,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,Matches
414,Andrea Carboni,it ITA,DF,Monza,it Serie A,23-361,2001,18,17,1501,16.7,0,1,1,0,0,0,4,0,0.2,0.2,0.3,0.5,7,34,20,0.00,0.06,0.06,0.00,0.06,0.01,0.02,0.03,0.01,0.03,Matches
415,Franco Carboni,it ITA,DF,Venezia,it Serie A,21-301,2003,6,2,166,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,2,6,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.01,0.05,Matches
416,Valentin Carboni,ar ARG,"MF,FW",Marseille,fr Ligue 1,19-331,2005,4,1,103,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,4,4,8,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,Matches
417,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,27-308,1997,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
418,Irvin Cardona,fr FRA,"FW,MF",Espanyol,es La Liga,27-175,1997,16,5,606,6.7,1,1,2,1,0,0,1,0,1.1,1.1,0.6,1.7,14,15,43,0.15,0.15,0.30,0.15,0.30,0.16,0.09,0.25,0.16,0.25,Matches
419,Marc Cardona,es ESP,"FW,MF",Las Palmas,es La Liga,29-206,1995,7,0,90,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,2,6,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
420,Sergi Cardona,es ESP,DF,Villarreal,es La Liga,25-206,1999,20,20,1772,19.7,1,3,4,1,0,0,5,0,1.9,1.9,3.6,5.5,35,42,110,0.05,0.15,0.20,0.05,0.20,0.10,0.18,0.28,0.10,0.28,Matches
421,Johnny Cardoso,us USA,MF,Betis,es La Liga,23-132,2001,14,11,1015,11.3,0,1,1,0,0,0,3,0,0.7,0.7,0.8,1.5,6,36,15,0.00,0.09,0.09,0.00,0.09,0.06,0.07,0.13,0.06,0.13,Matches
422,Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,33-022,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
423,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,31-321,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
424,Carmona,es ESP,DF,Sevilla,es La Liga,23-001,2002,20,20,1750,19.4,0,0,0,0,0,0,4,0,0.3,0.3,0.9,1.2,19,69,23,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.06,0.02,0.06,Matches
425,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24-213,2000,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
426,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,es La Liga,24-109,2000,8,6,498,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,18,17,45,0.00,0.00,0.00,0.00,0.00,0.01,0.15,0.16,0.01,0.16,Matches
427,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,33-019,1992,8,7,609,6.8,1,0,1,1,0,0,1,0,1.3,1.3,0.2,1.5,13,27,48,0.15,0.00,0.15,0.15,0.15,0.19,0.03,0.22,0.19,0.22,Matches
428,Fabio Carvalho,pt POR,"FW,MF",Brentford,eng Premier League,22-153,2002,16,3,428,4.8,1,1,2,1,0,0,1,0,2.1,2.1,0.5,2.7,8,16,21,0.21,0.21,0.42,0.21,0.42,0.45,0.11,0.56,0.45,0.56,Matches
429,William Carvalho,pt POR,MF,Betis,es La Liga,32-298,1992,4,4,247,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,20,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
430,Marc Casado,es ESP,MF,Barcelona,es La Liga,21-138,2003,18,16,1317,14.6,0,3,3,0,0,0,4,1,0.9,0.9,1.3,2.3,9,93,21,0.00,0.21,0.21,0.00,0.21,0.06,0.09,0.16,0.06,0.16,Matches
431,Nicolò Casale,it ITA,DF,Bologna,it Serie A,26-351,1998,7,4,350,3.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,8,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
432,Nicolò Casale,it ITA,DF,Lazio,it Serie A,26-351,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
433,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,32-342,1992,14,10,837,9.3,1,0,1,1,0,0,1,0,1.1,1.1,2.1,3.2,3,44,19,0.11,0.00,0.11,0.11,0.11,0.12,0.23,0.34,0.12,0.34,Matches
434,Kaelan Casey,eng ENG,DF,West Ham,eng Premier League,20-094,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
435,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,27-176,1997,16,15,1258,14.0,1,1,2,1,0,0,5,0,0.2,0.2,1.0,1.2,32,28,46,0.07,0.07,0.14,0.07,0.14,0.02,0.07,0.09,0.02,0.09,Matches
436,Josué Casimir,fr FRA,"FW,DF",Le Havre,fr Ligue 1,23-128,2001,13,9,783,8.7,1,1,2,1,0,0,3,0,1.2,1.2,0.7,2.0,22,19,49,0.11,0.11,0.23,0.11,0.23,0.14,0.09,0.23,0.14,0.23,Matches
437,Federico Cassa,it ITA,"MF,FW",Atalanta,it Serie A,18-364,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
438,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,25-010,2000,18,17,1463,16.3,1,1,2,1,0,0,7,0,0.5,0.5,1.4,1.9,12,69,19,0.06,0.06,0.12,0.06,0.12,0.03,0.08,0.11,0.03,0.11,Matches
439,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,29-056,1995,13,8,813,9.0,0,1,1,0,0,0,1,0,0.1,0.1,1.1,1.2,12,29,31,0.00,0.11,0.11,0.00,0.11,0.01,0.12,0.13,0.01,0.13,Matches
440,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,26-119,1998,19,18,1583,17.6,7,1,8,5,2,3,6,1,10.9,8.8,1.2,10.1,21,39,110,0.40,0.06,0.45,0.28,0.34,0.62,0.07,0.69,0.50,0.57,Matches
441,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,30-004,1995,17,17,1512,16.8,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,11,61,6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
442,Santiago Castro,ar ARG,FW,Bologna,it Serie A,20-123,2004,21,18,1492,16.6,6,4,10,6,0,1,4,0,4.1,3.3,2.2,5.5,12,23,91,0.36,0.24,0.60,0.36,0.60,0.25,0.13,0.38,0.20,0.33,Matches
443,Gaetano Castrovilli,it ITA,"MF,FW",Lazio,it Serie A,27-348,1997,9,1,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,5,10,6,0.00,0.00,0.00,0.00,0.00,0.05,0.44,0.49,0.05,0.49,Matches
444,Danilo Cataldi,it ITA,MF,Fiorentina,it Serie A,30-177,1994,13,12,884,9.8,3,0,3,3,0,0,0,0,0.9,0.9,0.4,1.4,11,52,4,0.31,0.00,0.31,0.31,0.31,0.09,0.05,0.14,0.09,0.14,Matches
445,Catena,es ESP,DF,Osasuna,es La Liga,30-094,1994,19,19,1710,19.0,0,1,1,0,0,0,6,0,1.0,1.0,0.6,1.6,8,55,2,0.00,0.05,0.05,0.00,0.05,0.05,0.03,0.08,0.05,0.08,Matches
446,Maximiliano Caufriez,be BEL,DF,Valencia,es La Liga,27-349,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
447,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,28-176,1996,12,8,656,7.3,0,0,0,0,0,0,3,0,0.2,0.2,0.9,1.0,14,77,8,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.14,0.03,0.14,Matches
448,Abdoulie Ceesay,gm GAM,FW,St. Pauli,de Bundesliga,21-025,2004,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
449,Zeki Çelik,tr TUR,DF,Roma,it Serie A,27-348,1997,20,16,1317,14.6,0,1,1,0,0,0,2,0,0.4,0.4,1.1,1.5,14,48,59,0.00,0.07,0.07,0.00,0.07,0.03,0.08,0.10,0.03,0.10,Matches
450,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,29-014,1996,2,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,8,13,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches
451,Alberto Cerri,it ITA,FW,Como,it Serie A,28-289,1996,5,0,87,1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,11,0.00,0.00,0.00,0.00,0.00,1.05,0.00,1.05,1.05,1.05,Matches
452,Franco Cervi,ar ARG,"FW,DF",Celta Vigo,es La Liga,30-249,1994,5,3,189,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,2,13,18,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches
453,Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,26-353,1998,18,15,1290,14.3,0,1,1,0,0,0,7,1,1.0,1.0,0.1,1.1,6,54,2,0.00,0.07,0.07,0.00,0.07,0.07,0.01,0.08,0.07,0.08,Matches
454,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,de Bundesliga,19-259,2005,9,3,333,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,2,25,2,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
455,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,de Bundesliga,22-063,2002,16,6,642,7.1,1,0,1,1,0,0,2,0,2.2,2.2,1.2,3.4,11,32,40,0.14,0.00,0.14,0.14,0.14,0.30,0.16,0.47,0.30,0.47,Matches
456,Trevoh Chalobah,eng ENG,DF,Crystal Palace,eng Premier League,25-209,1999,12,12,1060,11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.14,0.10,0.14,Matches
457,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,25-209,1999,2,2,180,2.0,0,1,1,0,0,0,0,0,0.1,0.1,1.1,1.3,2,5,0,0.00,0.50,0.50,0.00,0.50,0.07,0.56,0.63,0.07,0.63,Matches
458,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,34-307,1990,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
459,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,eng Premier League,27-349,1997,15,7,614,6.8,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,10,25,20,0.15,0.15,0.29,0.15,0.29,0.17,0.09,0.26,0.17,0.26,Matches
460,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,30-039,1994,17,17,1530,17.0,1,0,1,1,0,0,3,0,0.6,0.6,0.3,0.9,6,35,3,0.06,0.00,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Matches
461,Gabriel Charpentier,cg CGO,FW,Parma,it Serie A,25-258,1999,10,0,271,3.0,1,2,3,1,0,0,1,0,1.3,1.3,0.9,2.3,6,7,16,0.33,0.66,1.00,0.33,1.00,0.44,0.31,0.75,0.44,0.75,Matches
462,Raúl Chasco,es ESP,DF,Valladolid,es La Liga,21-139,2003,2,1,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
463,Anrie Chase,jp JPN,DF,Stuttgart,de Bundesliga,20-312,2004,12,7,734,8.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6,28,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
464,Pep Chavarría,es ESP,DF,Rayo Vallecano,es La Liga,26-295,1998,17,13,1200,13.3,0,1,1,0,0,0,1,0,0.6,0.6,0.8,1.3,24,53,56,0.00,0.07,0.07,0.00,0.07,0.04,0.06,0.10,0.04,0.10,Matches
465,Arthur Chaves,br BRA,DF,Hoffenheim,de Bundesliga,24-001,2001,12,10,966,10.7,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,4,35,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
466,Jhoanner Chávez,ec ECU,"DF,MF",Lens,fr Ligue 1,22-280,2002,10,7,596,6.6,1,0,1,1,0,0,1,0,0.3,0.3,0.7,1.0,14,9,36,0.15,0.00,0.15,0.15,0.15,0.04,0.11,0.15,0.04,0.15,Matches
467,Walid Cheddira,ma MAR,FW,Napoli,it Serie A,27-008,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches
468,Walid Cheddira,ma MAR,FW,Espanyol,es La Liga,27-008,1998,16,5,588,6.5,1,1,2,1,0,0,2,0,0.9,0.9,1.2,2.1,7,11,31,0.15,0.15,0.31,0.15,0.31,0.13,0.18,0.32,0.13,0.32,Matches
469,Chema,es ESP,MF,Real Madrid,es La Liga,19-280,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
470,Théo Chennahi,fr FRA,"MF,DF",Montpellier,fr Ligue 1,19-359,2005,2,0,8,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
471,Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,18-046,2006,5,3,282,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,8,2,14,0.00,0.00,0.00,0.00,0.00,0.14,0.06,0.19,0.14,0.19,Matches
472,Rayan Cherki,fr FRA,"FW,MF",Lyon,fr Ligue 1,21-166,2003,15,10,886,9.8,3,3,6,3,0,0,2,0,2.0,2.0,4.9,6.9,40,104,85,0.30,0.30,0.61,0.30,0.61,0.20,0.50,0.71,0.20,0.71,Matches
473,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,23-085,2001,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
474,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,19-239,2005,9,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
475,Julián Chicco,ar ARG,MF,Leganés,es La Liga,27-017,1998,8,1,190,2.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,6,14,4,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.24,0.21,0.24,Matches
476,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34-309,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
477,Federico Chiesa,it ITA,FW,Liverpool,eng Premier League,27-097,1997,3,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,4,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52,Matches
478,Chiquinho,pt POR,MF,Wolves,eng Premier League,24-360,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches
479,Chiquinho,pt POR,"MF,FW",Mallorca,es La Liga,24-360,2000,7,1,145,1.6,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,4,1,10,0.00,0.00,0.00,0.00,0.00,0.19,0.01,0.20,0.19,0.20,Matches
480,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,27-252,1997,18,17,1421,15.8,0,1,1,0,0,0,3,0,0.2,0.2,0.6,0.8,5,98,14,0.00,0.06,0.06,0.00,0.06,0.01,0.04,0.05,0.01,0.05,Matches
481,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,23-128,2001,12,12,925,10.3,1,0,1,1,0,0,4,0,0.6,0.6,0.3,0.8,10,47,18,0.10,0.00,0.10,0.10,0.10,0.06,0.02,0.08,0.06,0.08,Matches
482,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,eng Premier League,27-121,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches
483,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,28-295,1996,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
484,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,29-343,1995,22,20,1674,18.6,1,2,3,1,0,0,8,0,1.4,1.4,2.1,3.5,27,111,39,0.05,0.11,0.16,0.05,0.16,0.07,0.11,0.19,0.07,0.19,Matches
485,Samuel Chukwueze,ng NGA,"FW,MF",Milan,it Serie A,25-253,1999,18,9,770,8.6,2,0,2,2,0,0,0,0,2.3,2.3,2.2,4.5,40,26,102,0.23,0.00,0.23,0.23,0.23,0.27,0.26,0.53,0.27,0.53,Matches
486,Aaron Ciammaglichella,it ITA,MF,Torino,it Serie A,20-004,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
487,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35-283,1989,19,19,1679,18.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
488,Alessandro Circati,au AUS,DF,Parma,it Serie A,21-112,2003,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
489,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,30-320,1994,17,9,872,9.7,1,1,2,1,0,0,5,0,0.7,0.7,0.7,1.4,7,52,9,0.10,0.10,0.21,0.10,0.21,0.07,0.08,0.14,0.07,0.14,Matches
490,Alphadjo Cissè,it ITA,MF,Hellas Verona,it Serie A,18-100,2006,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.93,0.93,0.93,Matches
491,Seydouba Cissé,gn GUI,MF,Leganés,es La Liga,23-355,2001,19,17,1404,15.6,2,0,2,2,0,0,3,0,1.1,1.1,0.3,1.3,15,62,26,0.13,0.00,0.13,0.13,0.13,0.07,0.02,0.09,0.07,0.09,Matches
492,Yoann Cissé,fr FRA,MF,Auxerre,fr Ligue 1,20-048,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
493,Patrick Ciurria,it ITA,"MF,DF",Monza,it Serie A,29-356,1995,6,5,463,5.1,1,1,2,1,0,0,1,0,0.6,0.6,1.6,2.2,7,7,15,0.19,0.19,0.39,0.19,0.39,0.11,0.31,0.42,0.11,0.42,Matches
494,Harry Clarke,eng ENG,DF,Ipswich Town,eng Premier League,23-334,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
495,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,eng Premier League,24-068,2000,18,5,605,6.7,0,2,2,0,0,0,1,0,0.8,0.8,1.2,2.1,16,17,29,0.00,0.30,0.30,0.00,0.30,0.12,0.18,0.31,0.12,0.31,Matches
496,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,26-238,1998,13,10,885,9.8,6,1,7,6,0,0,2,0,2.6,2.6,0.3,2.8,24,30,43,0.61,0.10,0.71,0.61,0.71,0.26,0.03,0.29,0.26,0.29,Matches
497,Jonathan Clauss,fr FRA,"DF,MF",Nice,fr Ligue 1,32-127,1992,14,13,1079,12.0,1,4,5,1,0,0,4,0,0.9,0.9,3.9,4.8,26,47,66,0.08,0.33,0.42,0.08,0.42,0.08,0.33,0.40,0.08,0.40,Matches
498,Silvi Clúa,es ESP,MF,Girona,es La Liga,20-001,2005,4,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,3,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
499,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,eng Premier League,33-300,1991,10,4,394,4.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
500,Conor Coady,eng ENG,DF,Leicester City,eng Premier League,31-340,1993,10,8,716,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
501,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,28-220,1996,10,5,472,5.2,0,1,1,0,0,0,3,1,0.0,0.0,0.5,0.5,7,22,21,0.00,0.19,0.19,0.00,0.19,0.00,0.09,0.09,0.00,0.09,Matches
502,Saúl Coco,gq EQG,DF,Torino,it Serie A,25-356,1999,20,20,1800,20.0,2,0,2,2,0,0,6,0,1.0,1.0,0.0,1.0,13,54,3,0.10,0.00,0.10,0.10,0.10,0.05,0.00,0.05,0.05,0.05,Matches
503,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,36-111,1988,3,2,197,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,8,2,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches
