Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
602,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,27-252,1997,18,1421,79,83.1,15.8,17,82,7,1,23,0,0.94,17,22,-5,-0.32,+0.31,15.9,21.5,-5.6,-0.36,+0.22,Matches
603,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,23-128,2001,12,925,77,54.1,10.3,12,77,7,0,,0,0.75,13,24,-11,-1.07,+0.42,13.1,20.6,-7.5,-0.73,+0.15,Matches
604,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,eng Premier League,27-121,1997,4,131,33,6.3,1.5,1,58,0,3,24,11,0.25,0,5,-5,-3.44,-2.55,0.9,5.3,-4.4,-2.97,-2.19,Matches
605,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,28-295,1996,1,27,27,1.4,0.3,0,,0,1,27,2,3.00,0,0,0,0.00,-1.69,0.5,0.0,+0.5,+1.62,+0.29,Matches
606,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,29-343,1995,22,1674,76,80.9,18.6,20,81,10,2,28,0,1.82,34,20,+14,+0.75,+0.53,33.5,22.5,+11.0,+0.59,-0.39,Matches
607,Samuel Chukwueze,ng NGA,"FW,MF",Milan,it Serie A,25-253,1999,18,770,43,40.7,8.6,9,73,1,9,13,0,1.67,10,9,+1,+0.12,-0.53,14.1,9.7,+4.4,+0.51,-0.21,Matches
608,Aaron Ciammaglichella,it ITA,MF,Torino,it Serie A,20-004,2005,1,1,1,0.1,0.0,0,,0,1,1,11,3.00,0,0,0,0.00,+0.14,0.2,0.1,+0.1,+9.23,+9.55,Matches
609,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35-283,1989,19,1679,88,88.8,18.7,19,88,18,0,,0,1.21,25,29,-4,-0.21,+1.49,18.2,36.0,-17.9,-0.96,-0.15,Matches
610,Giuseppe Ciocci,it ITA,GK,Cagliari,it Serie A,23-006,2002,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
611,Alessandro Circati,au AUS,DF,Parma,it Serie A,21-112,2003,4,360,90,18.2,4.0,4,90,4,0,,1,1.00,6,7,-1,-0.25,+0.31,6.0,7.3,-1.3,-0.33,+0.37,Matches
612,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,30-320,1994,17,872,51,46.1,9.7,9,75,3,8,25,3,1.41,10,14,-4,-0.41,-0.85,10.1,12.2,-2.1,-0.22,-0.27,Matches
613,Alphadjo Cissè,it ITA,MF,Hellas Verona,it Serie A,18-100,2006,1,2,2,0.1,0.0,0,,0,1,2,20,0.00,0,0,0,0.00,+1.05,0.0,0.0,0.0,+0.16,+0.74,Matches
614,Amadou Cissé,gn GUI,FW,Strasbourg,fr Ligue 1,18-338,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
615,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,20-365,2004,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
616,Seydouba Cissé,gn GUI,MF,Leganés,es La Liga,23-355,2001,19,1404,74,74.3,15.6,17,79,6,2,32,2,1.16,13,19,-6,-0.38,+0.36,12.2,26.6,-14.4,-0.92,-0.19,Matches
617,Yoann Cissé,fr FRA,MF,Auxerre,fr Ligue 1,20-048,2004,1,1,1,0.1,0.0,0,,0,1,1,0,0.00,0,0,0,0.00,+0.21,0.4,0.1,+0.3,+26.77,+27.38,Matches
618,Patrick Ciurria,it ITA,"MF,DF",Monza,it Serie A,29-356,1995,6,463,77,23.4,5.1,5,89,4,1,20,8,0.50,4,9,-5,-0.97,-0.50,5.0,8.0,-3.0,-0.59,-0.15,Matches
619,Harry Clarke,eng ENG,DF,Ipswich Town,eng Premier League,23-334,2001,7,379,54,18.3,4.2,4,85,3,3,14,5,0.43,4,9,-5,-1.19,-0.07,4.3,9.1,-4.8,-1.13,+0.03,Matches
620,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,eng Premier League,24-068,2000,18,605,34,29.2,6.7,5,72,0,13,19,2,0.72,6,19,-13,-1.93,-1.14,5.4,15.8,-10.4,-1.55,-0.56,Matches
621,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,26-238,1998,13,885,68,51.8,9.8,10,77,1,3,37,3,1.54,12,10,+2,+0.20,+1.62,9.3,11.4,-2.1,-0.21,+0.28,Matches
622,Jonathan Clauss,fr FRA,"DF,MF",Nice,fr Ligue 1,32-127,1992,14,1079,77,63.1,12.0,13,80,8,1,45,0,1.50,22,13,+9,+0.75,+0.18,19.7,12.5,+7.2,+0.60,+0.02,Matches
623,Silvi Clúa,es ESP,MF,Girona,es La Liga,20-001,2005,4,163,41,8.6,1.8,2,68,0,2,14,7,2.25,3,3,0,0.00,0.00,2.3,0.8,+1.5,+0.83,+0.82,Matches
624,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,eng Premier League,33-300,1991,10,394,39,19.0,4.4,4,74,1,6,17,13,1.30,3,9,-6,-1.37,-1.48,6.2,8.9,-2.7,-0.61,-0.74,Matches
625,Conor Coady,eng ENG,DF,Leicester City,eng Premier League,31-340,1993,10,716,72,34.6,8.0,8,88,5,2,6,10,0.80,8,22,-14,-1.76,-1.10,7.0,16.8,-9.9,-1.24,-0.50,Matches
626,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,28-220,1996,10,472,47,27.6,5.2,5,80,1,5,14,5,1.00,8,11,-3,-0.57,-0.28,7.1,7.1,0.0,-0.01,+0.54,Matches
627,Saúl Coco,gq EQG,DF,Torino,it Serie A,25-356,1999,20,1800,90,90.9,20.0,20,90,20,0,,1,1.15,20,22,-2,-0.10,+0.40,18.0,25.1,-7.1,-0.35,-0.47,Matches
628,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,36-111,1988,3,197,66,9.9,2.2,2,90,1,1,18,6,0.67,3,4,-1,-0.46,-0.05,2.7,4.5,-1.8,-0.80,-0.50,Matches
629,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23-275,2001,23,2070,90,100.0,23.0,23,90,23,0,,0,1.35,42,40,+2,+0.09,,36.4,38.6,-2.1,-0.09,,Matches
630,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,21-020,2004,10,686,69,40.1,7.6,8,83,6,2,12,6,2.50,21,7,+14,+1.84,+1.49,16.7,10.6,+6.1,+0.80,+0.58,Matches
631,Toby Collyer,eng ENG,MF,Manchester Utd,eng Premier League,21-027,2004,4,124,31,6.0,1.4,0,,0,4,31,7,1.50,4,2,+2,+1.45,+1.73,4.1,2.0,+2.2,+1.57,+1.72,Matches
632,Leonardo Colombo,it ITA,MF,Monza,it Serie A,19-240,2005,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
633,Lorenzo Colombo,it ITA,"FW,MF",Empoli,it Serie A,22-328,2002,22,1566,71,79.1,17.4,19,76,6,3,39,0,0.95,19,23,-4,-0.23,+0.64,16.1,21.6,-5.6,-0.32,+0.84,Matches
634,Andrea Colpani,it ITA,"FW,MF",Fiorentina,it Serie A,25-264,1999,20,1360,68,72.0,15.1,17,74,2,3,34,0,1.57,25,19,+6,+0.40,-0.79,21.0,14.8,+6.2,+0.41,+0.08,Matches
635,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,21-339,2003,21,1889,90,91.3,21.0,21,90,20,0,,1,1.62,37,28,+9,+0.43,-2.55,38.2,30.4,+7.8,+0.37,-2.70,Matches
636,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,28-231,1996,17,800,47,46.8,8.9,8,72,2,9,25,0,2.65,31,4,+27,+3.04,+1.55,22.1,4.5,+17.6,+1.98,+0.25,Matches
637,Eray Cömert,ch SUI,"DF,MF",Valladolid,es La Liga,26-361,1998,16,1073,67,56.8,11.9,13,81,7,3,8,2,0.69,9,32,-23,-1.93,-1.38,10.1,24.3,-14.2,-1.19,-0.91,Matches
638,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,28-117,1996,19,1416,75,74.9,15.7,17,81,9,2,16,1,1.63,26,28,-2,-0.13,-1.84,24.6,20.5,+4.1,+0.26,-1.35,Matches
639,Pietro Comi,it ITA,DF,Atalanta,it Serie A,19-233,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
640,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,19-345,2005,19,1605,84,84.9,17.8,18,88,15,1,28,2,1.65,28,19,+9,+0.50,-0.76,24.9,17.6,+7.3,+0.41,+0.14,Matches
641,Francisco Conceição,pt POR,FW,Juventus,it Serie A,22-047,2002,14,849,61,42.9,9.4,8,87,4,6,26,0,1.50,17,13,+4,+0.42,-0.53,16.2,10.4,+5.9,+0.62,+0.21,Matches
642,Diego Conde,es ESP,GK,Villarreal,es La Liga,26-094,1998,15,1332,89,70.5,14.8,15,89,14,0,,1,1.73,27,25,+2,+0.14,-0.67,24.7,17.4,+7.2,+0.49,-0.38,Matches
643,Tomás Conechny,ar ARG,"FW,MF",Alavés,es La Liga,26-306,1998,13,688,53,36.4,7.6,8,70,1,5,25,8,0.69,10,15,-5,-0.65,-0.43,8.9,8.7,+0.2,+0.03,+0.27,Matches
644,Alois Confais,fr FRA,MF,Le Havre,fr Ligue 1,28-145,1996,1,3,3,0.2,0.0,0,,0,1,3,6,0.00,0,0,0,0.00,+1.27,0.2,0.0,+0.2,+5.49,+6.31,Matches
645,Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,28-205,1996,18,505,28,29.5,5.6,1,44,0,17,27,1,0.61,9,16,-7,-1.25,-0.58,11.6,14.1,-2.5,-0.45,-0.15,Matches
646,Nikita Contini Baranovsky,it ITA,GK,Napoli,it Serie A,28-254,1996,0,,,,,0,,0,0,,20,,,,,,,,,,,,Matches
647,Lewis Cook,eng ENG,"MF,DF",Bournemouth,eng Premier League,27-362,1997,22,1852,84,89.5,20.6,20,90,19,2,30,0,1.68,34,24,+10,+0.49,-1.58,37.9,26.2,+11.7,+0.57,-0.93,Matches
648,Copete,es ESP,DF,Mallorca,es La Liga,25-112,1999,14,657,47,34.8,7.3,6,90,6,8,15,4,1.64,8,9,-1,-0.14,+0.30,9.4,7.7,+1.7,+0.23,+0.41,Matches
649,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,21-033,2003,19,1577,83,79.6,17.5,18,88,17,1,2,1,1.05,22,34,-12,-0.68,+1.77,17.0,26.9,-9.9,-0.56,+0.05,Matches
650,Tommaso Corazza,it ITA,DF,Bologna,it Serie A,20-215,2004,0,,,,,0,,0,0,,17,,,,,,,,,,,,Matches
651,Iker Córdoba,es ESP,DF,Valencia,es La Liga,19-080,2005,2,15,8,0.8,0.2,0,,0,2,8,9,0.50,0,0,0,0.00,+0.77,0.3,0.0,+0.2,+1.52,+2.10,Matches
652,Derek Cornelius,ca CAN,DF,Marseille,fr Ligue 1,27-066,1997,12,767,64,44.9,8.5,9,79,5,3,19,3,2.25,23,7,+16,+1.88,+1.78,13.8,8.4,+5.4,+0.63,+0.69,Matches
653,Maxwel Cornet,ci CIV,FW,Southampton,eng Premier League,28-125,1996,2,72,36,3.5,0.8,1,45,0,1,27,3,0.00,0,4,-4,-5.00,-3.51,0.2,1.7,-1.5,-1.86,-0.51,Matches
654,Maxwel Cornet,ci CIV,FW,Genoa,it Serie A,28-125,1996,1,36,36,1.8,0.4,0,,0,1,36,0,3.00,2,0,+2,+5.00,+5.56,1.3,0.1,+1.3,+3.21,+3.58,Matches
655,Pierre Cornud,fr FRA,DF,Saint-Étienne,fr Ligue 1,28-049,1996,8,378,47,22.1,4.2,5,72,1,3,6,4,0.88,2,12,-10,-2.38,-1.64,2.2,9.7,-7.5,-1.78,-1.10,Matches
656,Christian Corradi,it ITA,DF,Hellas Verona,it Serie A,19-344,2005,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
657,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,29-327,1995,19,556,29,29.4,6.2,3,57,0,16,24,2,2.16,12,3,+9,+1.46,+0.65,12.5,4.2,+8.3,+1.35,+0.68,Matches
658,Joaquín Correa,ar ARG,"FW,MF",Inter,it Serie A,30-170,1994,5,152,30,8.0,1.7,1,90,1,4,16,13,2.60,6,2,+4,+2.37,+0.66,5.3,0.8,+4.5,+2.67,+1.66,Matches
659,Thierry Correia,pt POR,DF,Valencia,es La Liga,25-327,1999,11,768,70,40.6,8.5,9,79,4,2,28,0,0.64,7,13,-6,-0.70,+0.10,7.3,13.2,-6.0,-0.70,-0.21,Matches
660,Álvaro Cortés,es ESP,DF,Barcelona,es La Liga,19-258,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
661,Guillem Cortiñas,es ESP,DF,Getafe,es La Liga,21-361,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
662,Edoardo Corvi,it ITA,GK,Parma,it Serie A,23-313,2001,0,,,,,0,,0,0,,22,,,,,,,,,,,,Matches
663,Isaac Cossier,fr FRA,DF,Lille,fr Ligue 1,18-061,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
664,Alberto costa,pt POR,DF,Juventus,it Serie A,21-123,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
665,Coba da Costa,es ESP,"MF,FW",Getafe,es La Liga,22-188,2002,7,525,75,27.8,5.8,6,80,1,1,45,7,1.43,7,4,+3,+0.51,+0.71,5.3,11.1,-5.8,-1.00,-1.06,Matches
666,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,31-201,1993,10,748,75,43.7,8.3,10,75,6,0,,7,1.80,15,7,+8,+0.96,+0.78,12.3,11.0,+1.3,+0.16,+0.24,Matches
667,David Costa,pt POR,"MF,FW",Lens,fr Ligue 1,24-025,2001,11,352,32,20.6,3.9,3,61,0,8,21,4,1.18,3,6,-3,-0.77,-1.30,6.4,4.2,+2.2,+0.57,+0.13,Matches
668,João Costa,br BRA,FW,Roma,it Serie A,19-308,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
669,Logan Costa,cv CPV,DF,Villarreal,es La Liga,23-304,2001,16,1321,83,69.9,14.7,15,86,13,1,33,2,1.81,29,23,+6,+0.41,+0.25,27.4,17.9,+9.5,+0.64,+0.14,Matches
670,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,23-304,2001,1,90,90,5.3,1.0,1,90,1,0,,0,1.00,0,0,0,0.00,+0.06,1.7,0.5,+1.2,+1.23,+0.84,Matches
671,Samu Costa,pt POR,MF,Mallorca,es La Liga,24-064,2000,18,1502,83,79.5,16.7,18,83,14,0,,0,1.33,16,24,-8,-0.48,-0.71,18.3,19.3,-1.0,-0.06,-0.12,Matches
672,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25-302,1999,1,90,90,5.3,1.0,1,90,1,0,,18,3.00,4,1,+3,+3.00,+3.28,2.0,1.1,+0.8,+0.84,+1.39,Matches
673,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,32-161,1992,14,665,48,32.1,7.4,7,75,3,7,20,9,1.00,5,14,-9,-1.22,-0.77,12.1,12.7,-0.6,-0.09,+0.47,Matches
674,Joel Coulibaly,fr FRA,MF,Rennes,fr Ligue 1,17-264,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
675,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,28-295,1996,22,1426,65,72.0,15.8,15,80,7,7,32,0,0.91,14,24,-10,-0.63,+1.81,15.0,24.9,-9.9,-0.62,-0.03,Matches
676,Lasso Coulibaly,gh GHA,"FW,MF",Auxerre,fr Ligue 1,22-103,2002,2,38,19,2.2,0.4,0,,0,2,19,0,1.50,1,1,0,0.00,+0.22,0.5,0.7,-0.2,-0.45,+0.14,Matches
677,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,20-284,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
678,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,21-108,2003,6,393,66,23.0,4.4,4,86,3,2,26,3,2.00,6,5,+1,+0.23,+0.43,6.6,5.6,+0.9,+0.21,+0.90,Matches
679,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,23-347,2001,11,439,40,25.7,4.9,4,75,0,7,20,2,1.00,7,12,-5,-1.03,+0.32,6.6,9.6,-3.0,-0.61,+0.24,Matches
680,Woyo Coulibaly,fr FRA,DF,Leicester City,eng Premier League,25-255,1999,1,1,1,0.0,0.0,0,,0,1,1,0,3.00,0,0,0,0.00,+1.04,0.0,0.1,-0.1,-7.72,-6.80,Matches
681,Woyo Coulibaly,fr FRA,DF,Parma,it Serie A,25-255,1999,14,1084,77,54.7,12.0,12,85,10,2,32,3,1.00,16,23,-7,-0.58,-0.18,17.0,24.5,-7.5,-0.62,+0.03,Matches
682,Marius Courcoul,fr FRA,DF,Angers,fr Ligue 1,18-029,2007,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
683,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32-264,1992,18,1620,90,85.7,18.0,18,90,18,0,,0,2.39,44,16,+28,+1.56,+0.89,38.0,16.4,+21.7,+1.20,+0.78,Matches
684,Yan Couto,br BRA,DF,Dortmund,de Bundesliga,22-241,2002,12,566,47,33.1,6.3,4,87,2,8,27,3,1.17,12,14,-2,-0.32,-0.55,7.6,10.2,-2.5,-0.41,-0.71,Matches
685,Patrice Čović,hr CRO,MF,Werder Bremen,de Bundesliga,17-219,2007,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
686,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,26-022,1999,16,1278,80,74.7,14.2,14,89,13,2,16,0,0.88,14,25,-11,-0.77,-1.61,14.7,23.3,-8.6,-0.61,-0.84,Matches
687,Nicolas Cozza,fr FRA,DF,Wolfsburg,de Bundesliga,26-022,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
688,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,35-046,1989,9,210,23,10.1,2.3,2,73,1,7,9,9,2.11,1,2,-1,-0.43,+0.30,2.4,3.3,-0.8,-0.36,+0.05,Matches
689,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,22-166,2002,18,1423,79,83.2,15.8,16,87,14,2,12,1,1.39,16,16,0,0.00,+0.31,23.0,15.9,+7.0,+0.44,+0.04,Matches
690,Bryan Cristante,it ITA,MF,Roma,it Serie A,29-333,1995,15,1009,67,51.0,11.2,12,80,7,3,15,0,1.07,9,14,-5,-0.45,-1.37,12.5,15.2,-2.7,-0.24,-0.91,Matches
691,Domen Črnigoj,si SVN,MF,Venezia,it Serie A,29-073,1995,8,136,17,6.9,1.5,1,45,0,7,13,10,1.00,1,4,-3,-1.99,-1.40,1.2,4.9,-3.7,-2.42,-1.84,Matches
692,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,32-186,1992,13,789,61,41.7,8.8,10,75,3,3,12,7,1.46,12,11,+1,+0.11,+0.60,11.3,11.0,+0.2,+0.03,+0.56,Matches
693,Juan Cruz,es ESP,"FW,MF",Leganés,es La Liga,24-280,2000,20,1255,63,66.4,13.9,14,77,5,6,30,1,1.00,13,17,-4,-0.29,+0.56,10.1,20.7,-10.6,-0.76,+0.33,Matches
694,Pablo Cruz,es ESP,MF,Sevilla,es La Liga,21-019,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
695,Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36-249,1988,10,315,32,15.9,3.5,1,54,0,9,29,6,2.30,10,2,+8,+2.29,+1.47,7.0,2.1,+4.8,+1.38,+0.80,Matches
696,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,18-008,2007,21,1668,79,88.3,18.5,19,85,14,2,25,0,2.00,51,21,+30,+1.62,-0.41,46.6,22.8,+23.8,+1.28,-0.41,Matches
697,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,26-192,1998,21,1714,82,82.8,19.0,19,87,13,2,29,0,1.86,41,25,+16,+0.84,+1.09,42.1,26.3,+15.7,+0.83,+1.25,Matches
698,Iván Cuéllar,es ESP,GK,Mallorca,es La Liga,40-248,1984,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
699,Martin Cuellar,es ESP,,Getafe,es La Liga,17-310,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
700,Andres Cuenca,es ESP,DF,Barcelona,es La Liga,17-233,2007,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
701,Hugo Cuenca,py PAR,MF,Milan,it Serie A,20-022,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
702,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,25-074,1999,4,93,23,4.5,1.0,1,90,1,3,1,9,1.50,2,3,-1,-0.97,-1.15,1.2,2.5,-1.3,-1.24,-1.55,Matches
703,Luke Cundle,eng ENG,MF,Wolves,eng Premier League,22-279,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
704,Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25-248,1999,22,1785,81,86.2,19.8,20,85,15,2,40,0,0.73,30,45,-15,-0.76,+0.82,21.0,33.0,-12.0,-0.61,+0.29,Matches
705,Patrick Cutrone,it ITA,FW,Como,it Serie A,27-027,1998,22,1519,69,76.7,16.9,17,82,5,5,24,0,1.00,22,25,-3,-0.18,+0.99,20.6,18.3,+2.3,+0.14,-0.01,Matches
706,Tomáš Čvančara,cz CZE,"FW,MF",Gladbach,de Bundesliga,24-170,2000,16,443,28,25.9,4.9,4,71,0,12,13,2,1.13,4,10,-6,-1.22,-1.72,5.5,11.9,-6.4,-1.30,-1.33,Matches
707,Wylan Cyprien,fr FRA,MF,Parma,it Serie A,30-002,1995,2,28,14,1.4,0.3,0,,0,2,14,1,2.00,1,0,+1,+3.21,+3.77,0.9,0.2,+0.7,+2.36,+3.04,Matches
708,Marco D'Alessandro,it ITA,"DF,FW",Monza,it Serie A,33-348,1991,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
709,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,36-143,1988,14,600,43,30.3,6.7,6,79,1,8,16,5,0.50,6,12,-6,-0.90,-0.44,7.6,11.5,-3.9,-0.59,-0.17,Matches
710,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,23-235,2001,20,1309,65,66.1,14.5,15,80,6,5,20,2,0.95,15,24,-9,-0.62,-0.62,16.1,14.2,+1.9,+0.13,-0.02,Matches
711,Samuel Dahl,se SWE,"DF,MF",Roma,it Serie A,24-332,2000,2,43,22,2.2,0.5,0,,0,2,22,19,0.00,2,2,0,0.00,-0.23,0.3,0.8,-0.5,-1.07,-1.30,Matches
712,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26-309,1998,4,360,90,21.1,4.0,4,90,4,0,,10,2.25,6,2,+4,+1.00,+2.00,3.8,5.7,-1.9,-0.47,-0.15,Matches
713,Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,31-026,1994,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches
714,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,29-029,1996,8,323,40,18.9,3.6,3,71,1,5,22,8,1.75,13,8,+5,+1.39,+0.55,8.6,6.1,+2.6,+0.72,+0.33,Matches
715,Dario Daka,al ALB,FW,Lecce,it Serie A,21-006,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
716,Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,26-113,1998,11,276,25,13.3,3.1,1,90,1,10,19,1,0.64,6,6,0,0.00,+1.20,3.8,5.9,-2.2,-0.71,+0.24,Matches
717,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,22-330,2002,4,242,61,14.2,2.7,3,77,1,1,11,4,1.75,6,3,+3,+1.12,+0.81,5.0,2.9,+2.1,+0.77,+0.27,Matches
718,Marco Dalla Vecchia,it ITA,MF,Torino,it Serie A,19-352,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
719,Thijs Dallinga,nl NED,"FW,MF",Bologna,it Serie A,24-180,2000,18,444,25,23.5,4.9,3,61,0,15,17,3,1.67,10,9,+1,+0.20,-0.11,7.7,3.1,+4.6,+0.93,+0.87,Matches
720,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25-318,1999,22,1946,88,94.0,21.6,22,88,21,0,,0,1.18,24,31,-7,-0.32,-2.50,29.3,32.4,-3.1,-0.14,-1.59,Matches
721,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24-211,2000,23,1703,74,82.3,18.9,20,82,7,3,20,0,1.35,36,27,+9,+0.48,+2.19,31.6,30.9,+0.8,+0.04,+0.75,Matches
722,Maat Daniel Caprini,it ITA,FW,Fiorentina,it Serie A,18-354,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
723,Flavius Daniliuc,at AUT,DF,Hellas Verona,it Serie A,23-278,2001,14,746,53,37.7,8.3,6,87,2,8,28,6,0.79,8,18,-10,-1.21,-0.26,7.9,12.6,-4.7,-0.56,+0.02,Matches
724,Danilo,br BRA,MF,Nott'ham Forest,eng Premier League,23-276,2001,1,14,14,0.7,0.2,1,14,0,0,,0,1.00,0,0,0,0.00,-0.26,0.0,0.3,-0.3,-1.71,-1.84,Matches
725,Danilo,br BRA,DF,Juventus,it Serie A,33-199,1991,12,581,48,29.3,6.5,6,87,4,6,10,5,1.83,13,12,+1,+0.15,-0.81,11.5,8.5,+3.0,+0.46,-0.06,Matches
726,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,27-365,1997,3,200,67,10.6,2.2,3,67,0,0,,0,2.33,4,5,-1,-0.45,-0.88,3.4,2.7,+0.7,+0.31,-0.32,Matches
727,Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,27-365,1997,15,800,53,42.3,8.9,9,67,2,6,33,0,1.20,6,12,-6,-0.68,-1.17,8.0,12.5,-4.6,-0.51,-1.03,Matches
728,Jayden Danns,eng ENG,MF,Liverpool,eng Premier League,19-014,2006,1,11,11,0.6,0.1,0,,0,1,11,1,3.00,0,1,-1,-8.18,-9.74,0.0,0.4,-0.4,-3.38,-4.87,Matches
729,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,20-216,2004,14,886,63,51.8,9.8,10,81,6,4,19,1,1.29,17,14,+3,+0.30,+1.07,13.4,19.1,-5.7,-0.58,+0.02,Matches
730,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,26-133,1998,12,1080,90,63.2,12.0,12,90,12,0,,0,1.83,17,12,+5,+0.42,+0.42,21.5,15.3,+6.2,+0.52,+0.14,Matches
731,Dante,br BRA,DF,Nice,fr Ligue 1,41-104,1983,13,1014,78,59.3,11.3,11,88,10,2,23,1,1.85,25,12,+13,+1.15,+1.15,21.0,11.1,+9.9,+0.88,+0.70,Matches
732,Pape Daouda Diongue,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,,,7,73,10,4.3,0.8,1,45,0,6,5,12,1.86,2,1,+1,+1.23,+1.18,1.6,1.6,0.0,+0.01,+0.41,Matches
733,Mohammed Daramy,dk DEN,FW,Reims,fr Ligue 1,23-023,2002,2,16,8,0.9,0.2,0,,0,2,8,1,3.00,1,2,-1,-5.63,-5.57,1.0,0.7,+0.3,+1.60,+1.99,Matches
