Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
377,Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,23-089,2001,22.6,1612,54,352,973,302,10,1612,34,14,41.2,12,35.3,909,3978,1921,22,17,2,23,14,1134,25,Matches
378,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,34-010,1991,4.4,477,5,62,258,164,7,477,11,4,36.4,3,27.3,329,1591,766,12,15,3,3,3,397,20,Matches
379,Jens Cajuste,se SWE,MF,Ipswich Town,eng Premier League,25-173,1999,10.7,495,25,147,252,103,6,495,19,11,57.9,5,26.3,234,1273,699,15,12,3,11,5,294,7,Matches
380,Davide Calabria,it ITA,DF,Milan,it Serie A,28-055,1996,3.5,258,9,56,137,69,4,258,5,3,60.0,1,20.0,159,727,358,8,5,0,1,1,174,31,Matches
381,Riccardo Calafiori,it ITA,DF,Arsenal,eng Premier League,22-256,2002,8.4,507,28,150,195,166,20,507,11,8,72.7,2,18.2,229,1221,621,13,8,3,10,4,293,20,Matches
382,Luca Caldirola,it ITA,DF,Monza,it Serie A,33-364,1991,5.4,371,38,186,166,19,3,371,1,1,100.0,0,0.0,238,1021,531,3,4,0,2,1,265,4,Matches
383,Fernando Calero,es ESP,"DF,MF",Espanyol,es La Liga,29-138,1995,2.5,153,27,101,49,3,1,153,0,0,,0,,69,299,173,0,0,0,0,0,91,1,Matches
384,Duje Ćaleta-Car,hr CRO,DF,Lyon,fr Ligue 1,28-135,1996,13.9,958,159,478,454,28,15,958,2,1,50.0,1,50.0,533,2345,1206,3,1,0,6,1,646,0,Matches
385,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,30-357,1994,9.7,893,16,181,490,227,11,889,1,1,100.0,0,0.0,546,2843,1500,20,25,2,9,3,654,21,Matches
386,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,27-320,1997,17.5,491,21,38,204,254,82,491,25,10,40.0,13,52.0,268,1397,444,22,8,16,71,32,402,105,Matches
387,Drissa Camara,ci CIV,"MF,FW",Parma,it Serie A,22-347,2002,2.7,135,1,15,59,69,16,135,18,11,61.1,7,38.9,99,738,436,10,7,6,6,1,98,18,Matches
388,Issiaga Camara,gn GUI,MF,Nice,fr Ligue 1,19-363,2005,0.2,23,0,4,19,2,0,23,1,0,0.0,1,100.0,11,63,28,1,0,0,1,0,13,1,Matches
389,Lamine Camara,sn SEN,MF,Monaco,fr Ligue 1,21-029,2004,13.2,971,21,160,596,223,14,971,17,9,52.9,4,23.5,541,2576,1070,16,13,2,23,11,620,27,Matches
390,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,26-214,1998,15.5,813,19,138,466,219,35,813,40,17,42.5,18,45.0,399,2360,1236,27,20,7,17,14,495,49,Matches
391,Francesco Camarda,it ITA,"FW,MF",Milan,it Serie A,16-326,2008,1.6,56,4,9,24,23,10,56,6,2,33.3,3,50.0,22,111,28,1,0,0,5,3,32,9,Matches
392,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,22-081,2002,5.8,462,13,123,243,99,7,462,10,5,50.0,3,30.0,265,1270,691,10,10,3,2,4,309,12,Matches
393,Nicolò Cambiaghi,it ITA,FW,Bologna,it Serie A,24-033,2000,0.2,20,0,0,5,15,1,20,0,0,,0,,15,77,46,1,0,0,0,0,16,4,Matches
394,Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,24-345,2000,16.7,1301,37,340,650,324,26,1301,30,17,56.7,10,33.3,831,5175,2681,59,49,7,31,13,950,77,Matches
395,Axel Camblan,fr FRA,"MF,FW",Brest,fr Ligue 1,21-153,2003,0.3,10,0,0,3,7,3,10,0,0,,0,,5,68,50,2,0,2,0,0,8,1,Matches
396,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,23-355,2001,12.0,383,17,39,164,190,45,383,22,13,59.1,8,36.4,213,1094,528,19,13,8,37,21,293,65,Matches
397,José Campaña,es ESP,MF,Las Palmas,es La Liga,31-244,1993,8.0,591,27,147,365,84,3,591,12,6,50.0,4,33.3,312,1347,566,4,7,1,9,5,398,9,Matches
398,Cole Campbell,us USA,"MF,FW",Dortmund,de Bundesliga,18-345,2006,0.2,21,2,4,9,8,0,21,1,0,0.0,1,100.0,10,57,34,1,0,0,3,0,13,1,Matches
399,Emre Can,de GER,"DF,MF",Dortmund,de Bundesliga,31-018,1994,11.7,1096,56,339,645,117,6,1094,12,6,50.0,6,50.0,712,3478,1849,10,15,1,10,7,828,8,Matches
400,Peio Canales,es ESP,MF,Athletic Club,es La Liga,20-013,2005,0.2,17,1,4,5,8,0,17,1,0,0.0,1,100.0,10,32,4,0,0,0,0,0,11,2,Matches
401,Matteo Cancellieri,it ITA,"FW,MF",Parma,it Serie A,22-353,2002,11.1,400,16,75,166,171,26,400,57,23,40.4,27,47.4,229,1501,760,30,15,12,25,19,254,60,Matches
402,Fali Candé,gw GNB,DF,Venezia,it Serie A,27-006,1998,1.0,71,10,40,30,1,0,71,0,0,,0,,37,185,81,1,0,0,1,1,37,0,Matches
403,Antonio Candela,it ITA,DF,Venezia,it Serie A,24-278,2000,11.2,505,38,198,201,112,13,505,12,6,50.0,5,41.7,250,1430,700,12,5,2,17,10,285,25,Matches
404,Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,27-363,1997,3.8,216,6,32,69,116,20,216,13,1,7.7,12,92.3,117,503,272,7,6,4,12,5,154,43,Matches
405,Jaydee Canvot,fr FRA,"DF,MF",Toulouse,fr Ligue 1,18-185,2006,3.9,242,20,96,120,27,3,242,3,1,33.3,2,66.7,136,680,312,3,0,1,3,5,151,0,Matches
406,Pierrick Capelle,fr FRA,MF,Angers,fr Ligue 1,37-290,1987,3.2,173,2,22,111,46,2,173,9,6,66.7,3,33.3,79,427,174,4,2,0,11,3,96,10,Matches
407,Gianluca Caprari,it ITA,"MF,FW",Monza,it Serie A,31-184,1993,11.3,540,2,49,249,246,23,538,25,7,28.0,13,52.0,360,1979,892,27,20,8,26,24,385,66,Matches
408,Elia Caprile,it ITA,GK,Cagliari,it Serie A,23-158,2001,3.0,132,113,132,0,0,0,132,0,0,,0,,61,283,210,0,0,0,0,0,44,0,Matches
409,Elia Caprile,it ITA,GK,Napoli,it Serie A,23-158,2001,3.6,105,79,105,0,0,0,105,0,0,,0,,44,234,161,0,0,0,0,0,62,0,Matches
410,Gabin Capuano,fr FRA,FW,Lens,fr Ligue 1,18-279,2006,0.1,4,0,0,2,2,0,4,0,0,,0,,3,21,1,0,0,0,1,0,4,1,Matches
411,Francesco Caputo,it ITA,FW,Empoli,it Serie A,37-177,1987,0.1,2,0,0,1,1,0,2,0,0,,0,,1,1,0,0,0,0,0,0,1,1,Matches
412,Maxence Caqueret,fr FRA,MF,Como,it Serie A,24-350,2000,1.4,81,1,18,45,18,0,81,6,1,16.7,4,66.7,49,222,121,5,0,0,0,2,62,1,Matches
413,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,24-350,2000,6.4,419,5,66,241,116,11,419,18,7,38.9,9,50.0,213,1202,537,14,10,2,15,10,304,15,Matches
414,Andrea Carboni,it ITA,DF,Monza,it Serie A,23-361,2001,16.7,915,90,428,402,88,14,915,5,3,60.0,2,40.0,533,2062,1015,7,11,0,11,4,593,20,Matches
415,Franco Carboni,it ITA,DF,Venezia,it Serie A,21-301,2003,1.8,90,9,49,25,18,1,90,3,2,66.7,1,33.3,49,236,152,2,1,0,1,2,49,6,Matches
416,Valentin Carboni,ar ARG,"MF,FW",Marseille,fr Ligue 1,19-331,2005,1.1,81,1,6,35,40,2,81,3,0,0.0,3,100.0,51,304,100,4,4,0,2,0,69,8,Matches
417,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,27-308,1997,5.0,151,133,150,1,0,0,151,0,0,,0,,70,361,193,0,0,0,0,0,54,0,Matches
418,Irvin Cardona,fr FRA,"FW,MF",Espanyol,es La Liga,27-175,1997,6.7,246,7,27,98,123,23,246,13,3,23.1,8,61.5,114,874,460,14,14,6,22,4,167,43,Matches
419,Marc Cardona,es ESP,"FW,MF",Las Palmas,es La Liga,29-206,1995,1.0,45,0,9,23,13,4,45,3,0,0.0,3,100.0,25,93,42,2,0,0,1,2,34,6,Matches
420,Sergi Cardona,es ESP,DF,Villarreal,es La Liga,25-206,1999,19.7,1096,70,421,376,304,38,1096,18,6,33.3,10,55.6,486,2336,1366,35,24,5,15,5,569,110,Matches
421,Johnny Cardoso,us USA,MF,Betis,es La Liga,23-132,2001,11.3,668,53,200,396,83,7,668,19,10,52.6,8,42.1,330,1338,610,6,7,0,21,15,392,15,Matches
422,Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,33-022,1992,3.0,98,89,98,0,0,0,98,0,0,,0,,56,333,232,0,0,0,0,0,39,0,Matches
423,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,31-321,1993,9.2,674,86,331,330,15,6,674,2,2,100.0,0,0.0,419,2133,1162,3,3,0,1,2,481,0,Matches
424,Carmona,es ESP,DF,Sevilla,es La Liga,23-001,2002,19.4,1357,67,437,739,199,11,1357,27,10,37.0,13,48.1,597,3163,1698,19,17,4,24,13,716,23,Matches
425,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24-213,2000,21.0,720,628,718,2,0,0,720,0,0,,0,,426,2273,1262,0,0,0,0,0,378,0,Matches
426,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,es La Liga,24-109,2000,5.5,349,12,87,130,133,16,349,7,2,28.6,4,57.1,191,1014,553,18,8,4,8,8,211,45,Matches
427,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,33-019,1992,6.8,532,26,126,232,176,12,532,5,2,40.0,3,60.0,278,1288,513,13,5,0,8,6,376,48,Matches
428,Fabio Carvalho,pt POR,"FW,MF",Brentford,eng Premier League,22-153,2002,4.8,231,4,42,82,108,20,231,14,2,14.3,10,71.4,128,648,329,8,3,0,13,8,135,21,Matches
429,William Carvalho,pt POR,MF,Betis,es La Liga,32-298,1992,2.7,205,7,60,121,28,1,205,4,3,75.0,1,25.0,137,608,282,1,4,0,1,6,155,2,Matches
430,Marc Casado,es ESP,MF,Barcelona,es La Liga,21-138,2003,14.6,1266,22,194,872,203,6,1266,8,3,37.5,4,50.0,701,2825,1213,9,18,0,15,8,970,21,Matches
431,Nicolò Casale,it ITA,DF,Bologna,it Serie A,26-351,1998,3.9,216,28,116,97,5,1,216,0,0,,0,,115,497,218,0,0,0,4,0,134,1,Matches
432,Nicolò Casale,it ITA,DF,Lazio,it Serie A,26-351,1998,1.5,124,9,39,83,2,2,124,0,0,,0,,83,375,211,0,1,1,1,0,99,0,Matches
433,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,32-342,1992,9.3,727,47,200,386,145,25,727,5,3,60.0,2,40.0,394,1267,588,3,7,0,6,8,490,19,Matches
434,Kaelan Casey,eng ENG,DF,West Ham,eng Premier League,20-094,2004,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
435,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,27-176,1997,14.0,712,48,259,295,168,28,712,26,13,50.0,11,42.3,350,2308,1143,32,30,4,10,4,407,46,Matches
436,Josué Casimir,fr FRA,"FW,DF",Le Havre,fr Ligue 1,23-128,2001,8.7,328,13,76,131,129,22,328,16,7,43.8,6,37.5,159,1005,514,22,12,6,22,17,197,49,Matches
437,Federico Cassa,it ITA,"MF,FW",Atalanta,it Serie A,18-364,2006,0.2,9,0,1,2,6,0,9,1,0,0.0,1,100.0,9,61,41,1,2,1,0,0,8,2,Matches
438,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,25-010,2000,16.3,918,48,268,506,161,8,918,19,8,42.1,8,42.1,466,2005,919,12,11,1,19,5,531,19,Matches
439,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,29-056,1995,9.0,634,44,250,252,133,18,634,7,4,57.1,1,14.3,312,1288,641,12,6,1,4,4,386,31,Matches
440,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,26-119,1998,17.6,540,11,26,233,287,112,537,25,12,48.0,12,48.0,270,1329,598,21,14,14,37,21,398,110,Matches
441,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,30-004,1995,16.8,966,107,426,496,46,5,966,0,0,,0,,540,2266,1212,11,8,1,11,3,631,6,Matches
442,Santiago Castro,ar ARG,FW,Bologna,it Serie A,20-123,2004,16.6,464,14,38,206,228,66,463,32,13,40.6,19,59.4,270,1195,397,12,12,6,44,47,336,91,Matches
443,Gaetano Castrovilli,it ITA,"MF,FW",Lazio,it Serie A,27-348,1997,1.6,99,2,18,57,24,6,99,2,1,50.0,1,50.0,58,333,176,5,1,1,2,4,68,6,Matches
444,Danilo Cataldi,it ITA,MF,Fiorentina,it Serie A,30-177,1994,9.8,594,27,135,373,90,5,594,5,2,40.0,3,60.0,347,1672,649,11,16,1,7,2,391,4,Matches
445,Catena,es ESP,DF,Osasuna,es La Liga,30-094,1994,19.0,1031,146,522,485,30,19,1031,5,4,80.0,1,20.0,486,2368,1405,8,2,0,6,1,566,2,Matches
446,Maximiliano Caufriez,be BEL,DF,Valencia,es La Liga,27-349,1997,1.0,23,6,17,6,0,0,23,0,0,,0,,8,68,3,0,0,0,0,0,10,0,Matches
447,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,28-176,1996,7.3,772,16,156,497,124,4,772,8,4,50.0,2,25.0,490,2405,1280,14,13,1,6,2,621,8,Matches
448,Abdoulie Ceesay,gm GAM,FW,St. Pauli,de Bundesliga,21-025,2004,0.2,8,0,1,3,4,1,8,0,0,,0,,5,20,1,0,0,0,2,1,6,1,Matches
449,Zeki Çelik,tr TUR,DF,Roma,it Serie A,27-348,1997,14.6,891,43,245,427,226,25,891,8,6,75.0,1,12.5,451,2030,941,14,12,0,11,4,561,59,Matches
450,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,29-014,1996,0.9,69,8,17,19,33,1,69,1,0,0.0,1,100.0,30,178,94,3,3,0,1,0,34,13,Matches
451,Alberto Cerri,it ITA,FW,Como,it Serie A,28-289,1996,1.0,36,1,4,12,21,9,36,0,0,,0,,20,54,10,0,0,1,2,3,29,11,Matches
452,Franco Cervi,ar ARG,"FW,DF",Celta Vigo,es La Liga,30-249,1994,2.1,105,2,23,49,33,1,105,1,1,100.0,0,0.0,48,246,104,2,2,0,2,2,63,18,Matches
453,Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,26-353,1998,14.3,1254,160,623,588,48,18,1254,3,2,66.7,1,33.3,719,3245,1635,6,6,1,2,1,843,2,Matches
454,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,de Bundesliga,19-259,2005,3.7,320,33,116,184,22,5,320,1,1,100.0,0,0.0,171,678,339,2,2,1,3,1,214,2,Matches
455,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,de Bundesliga,22-063,2002,7.1,352,21,71,126,158,21,352,8,5,62.5,2,25.0,173,829,346,11,8,4,11,4,210,40,Matches
456,Trevoh Chalobah,eng ENG,DF,Crystal Palace,eng Premier League,25-209,1999,11.8,594,66,275,276,51,14,594,10,6,60.0,2,20.0,278,1213,661,11,9,1,4,7,317,6,Matches
457,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,25-209,1999,2.0,155,12,70,73,15,3,155,1,1,100.0,0,0.0,79,307,169,2,2,0,0,0,112,0,Matches
458,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,34-307,1990,0.2,25,1,6,11,8,1,25,1,0,0.0,1,100.0,13,59,37,1,2,0,0,0,16,2,Matches
459,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,eng Premier League,27-349,1997,6.8,281,6,46,141,99,12,281,6,3,50.0,3,50.0,138,697,380,10,7,0,9,3,192,20,Matches
460,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,30-039,1994,17.0,1007,127,550,430,29,14,1007,0,0,,0,,555,2533,1274,6,5,1,4,0,640,3,Matches
461,Gabriel Charpentier,cg CGO,FW,Parma,it Serie A,25-258,1999,3.0,111,7,22,35,58,12,111,6,2,33.3,3,50.0,55,337,138,6,4,2,16,4,64,16,Matches
462,Raúl Chasco,es ESP,DF,Valladolid,es La Liga,21-139,2003,1.4,74,2,36,32,7,0,74,2,0,0.0,2,100.0,28,103,54,1,0,0,3,1,28,2,Matches
463,Anrie Chase,jp JPN,DF,Stuttgart,de Bundesliga,20-312,2004,8.2,622,65,253,334,40,4,622,5,2,40.0,3,60.0,334,1209,546,6,7,0,4,1,453,2,Matches
464,Pep Chavarría,es ESP,DF,Rayo Vallecano,es La Liga,26-295,1998,13.3,900,64,321,388,199,11,900,11,4,36.4,5,45.5,369,1798,856,24,15,3,16,2,446,56,Matches
465,Arthur Chaves,br BRA,DF,Hoffenheim,de Bundesliga,24-001,2001,10.7,677,79,313,335,31,8,677,5,2,40.0,3,60.0,323,1324,596,4,6,0,5,5,429,3,Matches
466,Jhoanner Chávez,ec ECU,"DF,MF",Lens,fr Ligue 1,22-280,2002,6.6,373,21,107,145,125,15,373,6,3,50.0,3,50.0,179,853,403,14,6,3,11,8,208,36,Matches
467,Walid Cheddira,ma MAR,FW,Napoli,it Serie A,27-008,1998,0.1,3,0,0,1,2,0,3,0,0,,0,,1,3,0,0,0,0,0,0,2,1,Matches
468,Walid Cheddira,ma MAR,FW,Espanyol,es La Liga,27-008,1998,6.5,182,5,20,90,75,30,182,17,4,23.5,12,70.6,96,440,194,7,5,7,25,8,127,31,Matches
469,Chema,es ESP,MF,Real Madrid,es La Liga,19-280,2005,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
470,Théo Chennahi,fr FRA,"MF,DF",Montpellier,fr Ligue 1,19-359,2005,0.1,5,0,2,2,1,0,5,0,0,,0,,2,7,5,0,0,0,0,0,2,0,Matches
471,Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,18-046,2006,3.1,89,0,4,45,41,9,89,11,2,18.2,8,72.7,60,357,169,8,5,3,9,8,66,14,Matches
472,Rayan Cherki,fr FRA,"FW,MF",Lyon,fr Ligue 1,21-166,2003,9.8,688,3,43,255,405,62,688,58,32,55.2,24,41.4,429,2783,1461,40,36,20,22,26,514,85,Matches
473,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,23-085,2001,19.0,635,537,633,2,0,0,635,0,0,,0,,406,2046,1227,0,0,0,0,0,358,0,Matches
474,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,19-239,2005,0.7,59,8,27,30,2,0,59,0,0,,0,,27,103,23,0,0,0,0,0,31,0,Matches
475,Julián Chicco,ar ARG,MF,Leganés,es La Liga,27-017,1998,2.1,117,3,22,72,24,2,117,3,2,66.7,0,0.0,64,314,165,6,5,0,11,4,75,4,Matches
476,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34-309,1990,1.0,54,45,53,1,0,0,54,0,0,,0,,30,156,107,0,0,0,0,0,31,0,Matches
477,Federico Chiesa,it ITA,FW,Liverpool,eng Premier League,27-097,1997,0.3,23,0,2,11,10,3,23,1,0,0.0,1,100.0,18,67,34,2,0,1,1,3,18,4,Matches
478,Chiquinho,pt POR,MF,Wolves,eng Premier League,24-360,2000,0.1,3,0,0,1,2,1,3,0,0,,0,,1,13,5,0,0,0,0,0,2,0,Matches
479,Chiquinho,pt POR,"MF,FW",Mallorca,es La Liga,24-360,2000,1.6,74,0,6,23,46,9,74,13,5,38.5,7,53.8,42,299,96,4,1,1,16,8,47,10,Matches
480,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,27-252,1997,15.8,991,30,194,667,135,2,991,4,2,50.0,2,50.0,509,2099,883,5,9,1,9,5,713,14,Matches
481,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,23-128,2001,10.3,502,45,154,281,70,4,502,11,6,54.5,5,45.5,221,1100,520,10,6,0,4,5,271,18,Matches
482,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,eng Premier League,27-121,1997,1.5,100,4,19,61,20,3,100,4,3,75.0,1,25.0,63,246,130,4,2,2,1,0,71,6,Matches
483,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,28-295,1996,0.3,18,0,10,8,0,0,18,0,0,,0,,9,24,7,0,0,0,0,0,10,0,Matches
484,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,29-343,1995,18.6,1075,62,204,604,287,34,1075,39,17,43.6,19,48.7,569,2959,1359,27,34,5,37,20,607,39,Matches
485,Samuel Chukwueze,ng NGA,"FW,MF",Milan,it Serie A,25-253,1999,8.6,453,5,52,162,243,49,453,34,18,52.9,15,44.1,310,2218,1213,40,24,18,18,6,340,102,Matches
486,Aaron Ciammaglichella,it ITA,MF,Torino,it Serie A,20-004,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
487,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35-283,1989,18.7,797,652,794,3,0,0,797,0,0,,0,,459,2283,1477,0,0,0,4,0,402,0,Matches
488,Alessandro Circati,au AUS,DF,Parma,it Serie A,21-112,2003,4.0,219,57,135,83,1,0,219,0,0,,0,,98,406,210,1,0,0,3,2,125,0,Matches
489,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,30-320,1994,9.7,577,44,154,343,83,6,577,14,7,50.0,6,42.9,267,1058,495,7,10,1,9,9,351,9,Matches
490,Alphadjo Cissè,it ITA,MF,Hellas Verona,it Serie A,18-100,2006,0.0,8,0,1,6,1,0,8,0,0,,0,,4,12,0,0,0,0,0,0,7,0,Matches
491,Seydouba Cissé,gn GUI,MF,Leganés,es La Liga,23-355,2001,15.6,797,27,164,505,139,12,797,35,23,65.7,7,20.0,436,2241,1086,15,21,1,21,12,511,26,Matches
492,Yoann Cissé,fr FRA,MF,Auxerre,fr Ligue 1,20-048,2004,0.0,3,0,0,2,1,0,3,0,0,,0,,2,3,0,0,0,0,1,0,2,0,Matches
493,Patrick Ciurria,it ITA,"MF,DF",Monza,it Serie A,29-356,1995,5.1,204,14,40,85,82,11,204,3,1,33.3,2,66.7,113,537,230,7,4,1,6,6,115,15,Matches
494,Harry Clarke,eng ENG,DF,Ipswich Town,eng Premier League,23-334,2001,4.2,268,18,100,122,47,2,268,2,1,50.0,1,50.0,118,555,222,5,7,0,4,2,163,2,Matches
495,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,eng Premier League,24-068,2000,6.7,277,7,62,123,102,18,277,26,17,65.4,6,23.1,154,1114,588,16,9,4,15,11,173,29,Matches
496,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,26-238,1998,9.8,389,3,42,190,167,29,389,36,18,50.0,13,36.1,242,1526,714,24,21,5,38,17,283,43,Matches
497,Jonathan Clauss,fr FRA,"DF,MF",Nice,fr Ligue 1,32-127,1992,12.0,741,44,203,297,251,28,741,10,6,60.0,4,40.0,304,1533,851,26,14,7,17,3,369,66,Matches
498,Silvi Clúa,es ESP,MF,Girona,es La Liga,20-001,2005,1.8,116,8,32,72,16,3,116,4,2,50.0,2,50.0,61,495,217,4,3,1,1,0,77,3,Matches
499,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,eng Premier League,33-300,1991,4.4,199,16,76,91,32,2,199,1,0,0.0,1,100.0,107,463,249,5,2,2,4,2,122,7,Matches
500,Conor Coady,eng ENG,DF,Leicester City,eng Premier League,31-340,1993,8.0,503,84,267,227,9,3,503,1,1,100.0,0,0.0,348,1318,677,0,2,1,4,0,375,0,Matches
501,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,28-220,1996,5.2,335,16,93,178,65,1,335,7,1,14.3,6,85.7,160,737,293,7,8,0,7,2,200,21,Matches
502,Saúl Coco,gq EQG,DF,Torino,it Serie A,25-356,1999,20.0,1284,144,540,703,47,11,1284,6,5,83.3,1,16.7,799,4243,2330,13,7,0,10,2,874,3,Matches
503,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,36-111,1988,2.2,100,11,39,43,19,2,100,5,4,80.0,1,20.0,43,225,109,1,1,0,1,1,51,2,Matches
504,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23-275,2001,23.0,1548,243,833,614,110,45,1548,9,5,55.6,3,33.3,823,4499,2663,19,8,0,10,6,957,13,Matches
505,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,21-020,2004,7.6,540,42,206,265,72,10,540,14,5,35.7,8,57.1,312,1581,667,12,9,3,5,3,338,18,Matches
506,Toby Collyer,eng ENG,MF,Manchester Utd,eng Premier League,21-027,2004,1.4,84,3,26,40,18,1,84,1,1,100.0,0,0.0,46,183,48,0,0,0,6,1,53,2,Matches
507,Lorenzo Colombo,it ITA,"FW,MF",Empoli,it Serie A,22-328,2002,17.4,611,11,52,306,261,62,610,38,18,47.4,19,50.0,308,1651,668,21,19,9,62,33,397,86,Matches
508,Andrea Colpani,it ITA,"FW,MF",Fiorentina,it Serie A,25-264,1999,15.1,566,8,55,234,280,45,566,24,10,41.7,13,54.2,369,2216,1032,36,34,12,24,20,414,120,Matches
509,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,21-339,2003,21.0,1769,219,814,890,70,18,1769,6,3,50.0,3,50.0,1037,4892,2879,9,9,0,9,5,1298,4,Matches
510,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,28-231,1996,8.9,625,12,56,216,362,63,625,53,28,52.8,24,45.3,404,2628,1295,48,24,16,17,7,497,152,Matches
511,Eray Cömert,ch SUI,"DF,MF",Valladolid,es La Liga,26-361,1998,11.9,627,63,327,273,28,6,627,3,3,100.0,0,0.0,322,1602,741,6,3,0,9,2,397,4,Matches
512,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,28-117,1996,15.7,961,57,230,564,174,30,961,18,8,44.4,9,50.0,522,2623,1521,22,15,2,24,29,653,29,Matches
513,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,19-345,2005,17.8,1109,117,535,542,34,7,1109,0,0,,0,,647,2597,1139,5,5,0,13,2,715,4,Matches
514,Francisco Conceição,pt POR,FW,Juventus,it Serie A,22-047,2002,9.4,453,5,50,151,262,57,453,56,28,50.0,25,44.6,354,2867,1514,65,22,40,19,11,369,102,Matches
515,Diego Conde,es ESP,GK,Villarreal,es La Liga,26-094,1998,14.8,480,408,478,2,0,0,480,0,0,,0,,285,1447,844,0,0,0,0,0,249,0,Matches
516,Tomás Conechny,ar ARG,"FW,MF",Alavés,es La Liga,26-306,1998,7.6,369,9,45,156,170,29,369,9,3,33.3,6,66.7,208,863,357,12,16,2,24,8,259,53,Matches
517,Alois Confais,fr FRA,MF,Le Havre,fr Ligue 1,28-145,1996,0.0,2,0,1,1,0,0,2,0,0,,0,,1,1,0,0,0,0,0,0,1,0,Matches
518,Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,28-205,1996,5.6,173,3,20,67,92,19,173,5,2,40.0,2,40.0,113,747,446,16,6,4,11,7,121,45,Matches
519,Lewis Cook,eng ENG,"MF,DF",Bournemouth,eng Premier League,27-362,1997,20.6,1207,54,271,650,303,14,1207,11,6,54.5,5,45.5,537,2802,1503,25,18,3,22,13,595,31,Matches
520,Copete,es ESP,DF,Mallorca,es La Liga,25-112,1999,7.3,398,64,210,174,14,6,398,2,2,100.0,0,0.0,200,998,605,5,0,0,1,0,234,1,Matches
