Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
38,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27-227,1997,3.0,210,32,115,91,7,0,210,6,5,83.3,1,16.7,112,594,269,1,2,0,2,1,113,0,Matches
39,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-227,1997,14.0,1080,178,565,474,45,4,1080,12,9,75.0,3,25.0,621,3413,1974,10,9,0,9,6,701,0,Matches
40,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,19-124,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1,Matches
41,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-035,2000,13.4,437,357,436,1,0,0,437,0,0,,0,,237,1238,682,0,0,0,1,0,211,0,Matches
42,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22-356,2002,11.4,729,31,175,452,111,9,729,13,11,84.6,2,15.4,334,1535,684,13,12,1,16,6,472,13,Matches
43,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-125,1999,8.9,463,23,144,197,123,20,463,10,3,30.0,6,60.0,251,1183,587,17,6,3,17,3,295,69,Matches
44,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28-274,1996,3.6,211,4,41,116,56,2,211,6,3,50.0,2,33.3,123,953,479,8,4,0,5,2,135,2,Matches
45,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-133,2002,0.1,3,0,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,1,1,0,Matches
46,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28-306,1996,14.2,1104,95,509,566,30,11,1104,6,3,50.0,1,16.7,698,4020,2444,14,9,0,4,0,793,0,Matches
47,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,31-279,1993,3.1,242,2,55,108,83,8,242,3,1,33.3,2,66.7,109,456,187,2,5,0,4,1,134,29,Matches
48,Naouirou Ahamada,fr FRA,FW,Rennes,fr Ligue 1,22-307,2002,0.0,1,0,0,1,0,0,1,0,0,,0,,1,1,0,0,0,0,0,0,1,0,Matches
49,Honest Ahanor,it ITA,DF,Genoa,it Serie A,16-342,2008,0.9,24,1,9,6,9,1,24,1,0,0.0,0,0.0,11,87,29,1,0,0,1,1,9,3,Matches
50,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,23-108,2001,0.5,22,0,2,10,10,2,22,0,0,,0,,12,68,26,1,2,0,3,0,14,3,Matches
51,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30-316,1994,15.0,743,34,190,448,111,24,743,22,11,50.0,9,40.9,354,1590,780,14,4,2,21,10,438,11,Matches
52,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-123,1995,0.0,8,0,4,4,0,0,8,0,0,,0,,7,9,8,0,0,0,0,1,6,0,Matches
53,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19-219,2005,1.4,48,1,10,20,19,2,48,4,0,0.0,4,100.0,33,169,95,4,2,1,5,7,37,8,Matches
54,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-114,1996,22.1,1157,100,423,475,280,17,1157,45,21,46.7,15,33.3,511,3291,1942,44,29,8,26,15,548,40,Matches
55,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23-238,2001,20.9,1255,64,352,554,366,49,1255,68,33,48.5,22,32.4,663,3810,2091,52,36,16,22,26,767,102,Matches
56,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26-288,1998,8.0,410,30,159,189,67,14,410,9,4,44.4,5,55.6,222,1358,799,15,7,0,10,6,266,16,Matches
57,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30-340,1994,14.5,472,16,34,237,205,57,471,11,5,45.5,6,54.5,202,681,245,5,8,2,33,4,339,69,Matches
58,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-195,1995,18.0,1523,105,458,738,328,10,1523,2,2,100.0,0,0.0,990,5210,3129,36,49,0,4,5,1202,6,Matches
59,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,21-116,2003,3.3,240,17,86,147,11,0,240,1,1,100.0,0,0.0,124,512,246,2,1,0,1,0,136,6,Matches
60,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29-347,1995,6.7,519,47,186,277,57,4,519,1,1,100.0,0,0.0,344,1912,1263,11,11,1,2,3,383,2,Matches
61,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20-289,2004,6.5,292,8,44,89,162,29,292,43,19,44.2,17,39.5,200,1310,759,30,18,20,15,10,209,64,Matches
62,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,27-045,1997,14.9,727,48,270,265,199,16,727,19,9,47.4,10,52.6,345,2094,1115,29,19,5,22,11,397,52,Matches
63,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22-340,2002,13.3,806,10,88,338,395,82,806,54,26,48.1,28,51.9,525,3210,1740,60,47,25,39,24,580,114,Matches
64,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-067,2001,15.8,894,94,433,371,99,5,894,16,4,25.0,10,62.5,500,2562,1420,20,17,1,4,4,513,23,Matches
65,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,32-111,1992,2.5,130,8,56,53,21,1,130,12,3,25.0,6,50.0,73,360,95,1,1,0,5,2,60,2,Matches
66,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,22-351,2002,0.5,9,1,2,3,4,0,9,1,1,100.0,0,0.0,6,54,8,0,1,0,0,2,10,3,Matches
