Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
37,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26-353,1998,13.5,40,2.97,21,0,11,5,3,0,6,0.44,3,0,3,0,0,0,Matches
38,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27-227,1997,3.0,3,1.00,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
39,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-227,1997,14.0,21,1.50,19,0,1,1,0,0,1,0.07,1,0,0,0,0,0,Matches
40,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,19-124,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
41,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-035,2000,13.4,3,0.22,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22-356,2002,11.4,24,2.10,22,0,1,1,0,0,2,0.18,1,0,0,1,0,0,Matches
43,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-125,1999,8.9,17,1.91,14,0,1,0,2,0,1,0.11,1,0,0,0,0,0,Matches
44,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28-274,1996,3.6,13,3.60,12,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-133,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28-306,1996,14.2,10,0.70,8,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
47,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,31-279,1993,3.1,8,2.57,8,0,0,0,0,0,1,0.32,1,0,0,0,0,0,Matches
48,Naouirou Ahamada,fr FRA,FW,Rennes,fr Ligue 1,22-307,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,Honest Ahanor,it ITA,DF,Genoa,it Serie A,16-342,2008,0.9,2,2.12,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
50,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,23-108,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30-316,1994,15.0,23,1.54,14,0,2,2,2,3,0,0.00,0,0,0,0,0,0,Matches
52,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-123,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19-219,2005,1.4,1,0.71,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
54,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-114,1996,22.1,40,1.81,32,5,1,1,0,1,2,0.09,1,0,0,0,0,1,Matches
55,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23-238,2001,20.9,42,2.01,28,5,4,3,1,1,7,0.33,5,1,0,0,0,1,Matches
56,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26-288,1998,8.0,9,1.13,9,0,0,0,0,0,2,0.25,2,0,0,0,0,0,Matches
57,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30-340,1994,14.5,36,2.49,31,0,1,1,2,1,3,0.21,1,0,0,1,1,0,Matches
58,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-195,1995,18.0,33,1.84,33,0,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches
59,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,21-116,2003,3.3,2,0.61,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29-347,1995,6.7,6,0.90,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20-289,2004,6.5,29,4.38,17,0,5,1,6,0,1,0.15,0,0,0,0,1,0,Matches
62,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,27-045,1997,14.9,15,1.01,13,0,0,1,1,0,1,0.07,1,0,0,0,0,0,Matches
63,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22-340,2002,13.3,61,4.59,43,1,6,5,4,2,7,0.53,6,0,0,1,0,0,Matches
64,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-067,2001,15.8,17,1.07,12,2,0,0,1,2,2,0.13,1,0,0,0,1,0,Matches
65,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,32-111,1992,2.5,3,1.18,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
66,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,22-351,2002,0.5,1,2.00,0,0,0,0,1,0,1,2.00,0,0,0,0,1,0,Matches
67,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29-286,1995,14.8,14,0.95,13,1,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
68,David Alaba,at AUT,DF,Real Madrid,es La Liga,32-220,1992,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
69,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34-313,1990,0.7,2,3.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
70,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-148,1985,13.2,5,0.38,4,0,0,1,0,0,3,0.23,3,0,0,0,0,0,Matches
71,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,22-061,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Omar Alderete,py PAR,DF,Getafe,es La Liga,28-035,1996,19.8,26,1.31,21,1,0,3,0,1,3,0.15,2,0,0,1,0,0,Matches
73,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,27-025,1998,4.9,8,1.65,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
74,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,26-115,1998,18.5,74,4.00,58,13,1,2,0,0,10,0.54,9,1,0,0,0,0,Matches
75,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25-271,1999,4.8,23,4.77,8,0,6,6,3,0,2,0.41,1,0,0,1,0,0,Matches
76,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,21-011,2004,10.7,38,3.56,29,3,2,0,4,0,7,0.65,5,0,1,0,1,0,Matches
77,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23-196,2001,0.8,2,2.54,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,Alisson,br BRA,GK,Liverpool,eng Premier League,32-120,1992,13.9,5,0.36,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,25-345,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
80,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29-338,1995,11.2,26,2.32,16,1,0,6,2,1,6,0.54,4,0,0,2,0,0,Matches
81,Thiago Almada,ar ARG,FW,Lyon,fr Ligue 1,23-279,2001,0.3,2,6.67,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
82,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24-245,2000,10.9,35,3.21,23,5,1,3,2,1,1,0.09,1,0,0,0,0,0,Matches
83,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20-271,2004,0.5,3,5.63,2,0,1,0,0,0,2,3.75,1,0,1,0,0,0,Matches
84,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30-355,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
85,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25-204,1999,7.4,21,2.83,12,0,4,2,3,0,2,0.27,2,0,0,0,0,0,Matches
86,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-033,1990,15.0,17,1.13,14,1,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
87,Giorgio Altare,it ITA,DF,Venezia,it Serie A,26-174,1998,8.4,5,0.60,3,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
88,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23-308,2001,9.6,6,0.62,4,0,1,0,1,0,1,0.10,1,0,0,0,0,0,Matches
89,Sergi Altimira,es ESP,MF,Betis,es La Liga,23-158,2001,13.3,33,2.48,26,0,2,1,0,4,1,0.08,1,0,0,0,0,0,Matches
90,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,27-098,1997,13.7,22,1.61,19,0,2,1,0,0,2,0.15,2,0,0,0,0,0,Matches
91,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21-212,2003,14.4,35,2.43,27,0,5,3,0,0,5,0.35,3,0,2,0,0,0,Matches
92,Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,es La Liga,24-365,2000,15.2,53,3.49,39,2,5,6,0,1,6,0.40,5,0,0,1,0,0,Matches
93,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,30-006,1995,11.0,12,1.09,10,0,0,0,0,2,1,0.09,1,0,0,0,0,0,Matches
94,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22-271,2002,1.5,2,1.35,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Will Alves,eng ENG,FW,Leicester City,eng Premier League,19-362,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
96,Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,28-076,1996,9.2,17,1.84,9,3,4,0,0,1,1,0.11,1,0,0,0,0,0,Matches
97,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28-198,1996,3.5,10,2.84,8,0,1,1,0,0,1,0.28,1,0,0,0,0,0,Matches
98,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30-327,1994,8.8,14,1.59,13,0,0,1,0,0,1,0.11,1,0,0,0,0,0,Matches
99,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21-183,2003,0.8,2,2.54,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Kelvin Amian,fr FRA,"DF,MF",Nantes,fr Ligue 1,26-357,1998,13.7,22,1.60,15,4,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
101,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28-354,1996,15.8,30,1.90,25,0,2,2,0,1,4,0.25,3,0,1,0,0,0,Matches
102,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-095,1996,14.3,59,4.13,35,17,3,3,1,0,6,0.42,6,0,0,0,0,0,Matches
103,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18-196,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
104,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,19-012,2006,9.5,17,1.78,14,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
105,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24-266,2000,15.3,47,3.07,30,1,4,7,4,1,10,0.65,9,0,1,0,0,0,Matches
