Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
491,Seydouba Cissé,gn GUI,MF,Leganés,es La Liga,23-355,2001,15.6,25,1.60,18,1,1,1,4,0,2,0.13,0,0,0,0,2,0,Matches
492,Yoann Cissé,fr FRA,MF,Auxerre,fr Ligue 1,20-048,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
493,Patrick Ciurria,it ITA,"MF,DF",Monza,it Serie A,29-356,1995,5.1,8,1.56,6,1,0,1,0,0,2,0.39,1,0,0,1,0,0,Matches
494,Harry Clarke,eng ENG,DF,Ipswich Town,eng Premier League,23-334,2001,4.2,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
495,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,eng Premier League,24-068,2000,6.7,20,2.98,17,1,2,0,0,0,2,0.30,1,1,0,0,0,0,Matches
496,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,26-238,1998,9.8,28,2.85,20,0,3,1,4,0,3,0.31,1,0,1,0,1,0,Matches
497,Jonathan Clauss,fr FRA,"DF,MF",Nice,fr Ligue 1,32-127,1992,12.0,38,3.17,22,15,0,1,0,0,6,0.50,4,2,0,0,0,0,Matches
498,Silvi Clúa,es ESP,MF,Girona,es La Liga,20-001,2005,1.8,2,1.10,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
499,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,eng Premier League,33-300,1991,4.4,2,0.46,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
500,Conor Coady,eng ENG,DF,Leicester City,eng Premier League,31-340,1993,8.0,4,0.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
501,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,28-220,1996,5.2,10,1.91,8,2,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
502,Saúl Coco,gq EQG,DF,Torino,it Serie A,25-356,1999,20.0,9,0.45,7,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
503,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,36-111,1988,2.2,2,0.91,1,0,1,0,0,0,1,0.46,1,0,0,0,0,0,Matches
504,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23-275,2001,23.0,23,1.00,16,2,1,2,2,0,6,0.26,2,1,0,1,2,0,Matches
505,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,21-020,2004,7.6,7,0.92,5,0,2,0,0,0,3,0.39,1,0,2,0,0,0,Matches
506,Toby Collyer,eng ENG,MF,Manchester Utd,eng Premier League,21-027,2004,1.4,2,1.44,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
507,Lorenzo Colombo,it ITA,"FW,MF",Empoli,it Serie A,22-328,2002,17.4,38,2.18,25,0,4,4,5,0,3,0.17,1,0,1,1,0,0,Matches
508,Andrea Colpani,it ITA,"FW,MF",Fiorentina,it Serie A,25-264,1999,15.1,40,2.65,31,4,0,4,1,0,5,0.33,3,0,0,2,0,0,Matches
509,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,21-339,2003,21.0,23,1.10,20,2,0,0,0,1,3,0.14,2,0,0,0,0,1,Matches
510,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,28-231,1996,8.9,55,6.17,41,0,9,3,2,0,4,0.45,3,0,0,0,1,0,Matches
511,Eray Cömert,ch SUI,"DF,MF",Valladolid,es La Liga,26-361,1998,11.9,8,0.67,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
512,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,28-117,1996,15.7,44,2.80,39,1,0,1,0,3,4,0.25,3,0,0,0,0,1,Matches
513,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,19-345,2005,17.8,11,0.62,9,0,0,1,0,1,1,0.06,1,0,0,0,0,0,Matches
514,Francisco Conceição,pt POR,FW,Juventus,it Serie A,22-047,2002,9.4,37,3.93,25,2,7,3,0,0,7,0.74,4,1,1,1,0,0,Matches
515,Diego Conde,es ESP,GK,Villarreal,es La Liga,26-094,1998,14.8,3,0.20,1,2,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
516,Tomás Conechny,ar ARG,"FW,MF",Alavés,es La Liga,26-306,1998,7.6,10,1.31,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
517,Alois Confais,fr FRA,MF,Le Havre,fr Ligue 1,28-145,1996,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
518,Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,28-205,1996,5.6,18,3.20,15,0,0,0,3,0,3,0.53,3,0,0,0,0,0,Matches
519,Lewis Cook,eng ENG,"MF,DF",Bournemouth,eng Premier League,27-362,1997,20.6,65,3.16,49,15,0,1,0,0,4,0.19,2,1,0,1,0,0,Matches
520,Copete,es ESP,DF,Mallorca,es La Liga,25-112,1999,7.3,3,0.41,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
521,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,21-033,2003,17.5,5,0.29,5,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
522,Iker Córdoba,es ESP,DF,Valencia,es La Liga,19-080,2005,0.2,1,6.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
523,Derek Cornelius,ca CAN,DF,Marseille,fr Ligue 1,27-066,1997,8.5,5,0.59,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
524,Maxwel Cornet,ci CIV,FW,Southampton,eng Premier League,28-125,1996,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
525,Maxwel Cornet,ci CIV,FW,Genoa,it Serie A,28-125,1996,0.4,3,7.50,2,0,1,0,0,0,1,2.50,1,0,0,0,0,0,Matches
526,Pierre Cornud,fr FRA,DF,Saint-Étienne,fr Ligue 1,28-049,1996,4.2,2,0.48,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
527,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,29-327,1995,6.2,21,3.41,11,1,3,4,1,1,3,0.49,2,0,1,0,0,0,Matches
528,Joaquín Correa,ar ARG,"FW,MF",Inter,it Serie A,30-170,1994,1.7,4,2.35,4,0,0,0,0,0,2,1.18,2,0,0,0,0,0,Matches
529,Thierry Correia,pt POR,DF,Valencia,es La Liga,25-327,1999,8.5,16,1.87,12,1,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
530,Coba da Costa,es ESP,"MF,FW",Getafe,es La Liga,22-188,2002,5.8,13,2.23,9,0,2,2,0,0,2,0.34,1,0,0,1,0,0,Matches
531,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,31-201,1993,8.3,7,0.84,7,0,0,0,0,0,3,0.36,3,0,0,0,0,0,Matches
532,David Costa,pt POR,"MF,FW",Lens,fr Ligue 1,24-025,2001,3.9,8,2.05,5,1,0,1,1,0,1,0.26,0,0,0,0,1,0,Matches
533,Logan Costa,cv CPV,DF,Villarreal,es La Liga,23-304,2001,14.7,12,0.81,10,0,0,1,1,0,1,0.07,0,0,0,0,1,0,Matches
534,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,23-304,2001,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
535,Samu Costa,pt POR,MF,Mallorca,es La Liga,24-064,2000,16.7,34,2.04,25,1,2,5,1,0,4,0.24,2,1,0,1,0,0,Matches
536,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25-302,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
537,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,32-161,1992,7.4,13,1.76,9,4,0,0,0,0,1,0.14,0,1,0,0,0,0,Matches
538,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,28-295,1996,15.8,22,1.39,20,0,0,0,1,1,2,0.13,1,0,0,0,1,0,Matches
539,Lasso Coulibaly,gh GHA,"FW,MF",Auxerre,fr Ligue 1,22-103,2002,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
540,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,21-108,2003,4.4,8,1.83,5,0,0,2,1,0,3,0.69,0,0,0,2,1,0,Matches
541,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,23-347,2001,4.9,15,3.08,8,0,1,3,1,2,1,0.21,0,0,0,1,0,0,Matches
542,Woyo Coulibaly,fr FRA,DF,Leicester City,eng Premier League,25-255,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
543,Woyo Coulibaly,fr FRA,DF,Parma,it Serie A,25-255,1999,12.0,19,1.58,17,0,1,0,1,0,3,0.25,1,0,1,0,1,0,Matches
544,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32-264,1992,18.0,2,0.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
545,Yan Couto,br BRA,DF,Dortmund,de Bundesliga,22-241,2002,6.3,15,2.39,13,0,2,0,0,0,1,0.16,1,0,0,0,0,0,Matches
546,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,26-022,1999,14.2,15,1.06,12,0,0,2,1,0,2,0.14,1,0,0,0,1,0,Matches
547,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,35-046,1989,2.3,7,3.00,3,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
548,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,22-166,2002,15.8,13,0.82,10,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
549,Bryan Cristante,it ITA,MF,Roma,it Serie A,29-333,1995,11.2,23,2.05,20,0,0,2,1,0,1,0.09,1,0,0,0,0,0,Matches
550,Domen Črnigoj,si SVN,MF,Venezia,it Serie A,29-073,1995,1.5,2,1.32,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
551,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,32-186,1992,8.8,7,0.80,6,1,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
552,Juan Cruz,es ESP,"FW,MF",Leganés,es La Liga,24-280,2000,13.9,30,2.15,18,5,2,2,1,2,2,0.14,2,0,0,0,0,0,Matches
553,Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36-249,1988,3.5,14,3.99,11,3,0,0,0,0,2,0.57,1,1,0,0,0,0,Matches
554,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,18-008,2007,18.5,27,1.46,26,0,0,1,0,0,5,0.27,4,0,0,1,0,0,Matches
555,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,26-192,1998,19.0,32,1.68,29,1,0,2,0,0,2,0.11,2,0,0,0,0,0,Matches
556,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,25-074,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
557,Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25-248,1999,19.8,77,3.88,47,9,11,4,4,2,8,0.40,7,0,1,0,0,0,Matches
558,Patrick Cutrone,it ITA,FW,Como,it Serie A,27-027,1998,16.9,40,2.37,27,0,1,7,3,2,3,0.18,3,0,0,0,0,0,Matches
559,Tomáš Čvančara,cz CZE,"FW,MF",Gladbach,de Bundesliga,24-170,2000,4.9,8,1.62,8,0,0,0,0,0,1,0.20,1,0,0,0,0,0,Matches
560,Wylan Cyprien,fr FRA,MF,Parma,it Serie A,30-002,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
561,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,36-143,1988,6.7,2,0.30,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
562,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,23-235,2001,14.5,55,3.78,34,16,1,2,1,1,4,0.28,2,1,0,0,0,1,Matches
563,Samuel Dahl,se SWE,"DF,MF",Roma,it Serie A,24-332,2000,0.5,1,2.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
564,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26-309,1998,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
565,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,29-029,1996,3.6,12,3.34,9,0,0,2,0,1,2,0.56,1,0,0,0,0,1,Matches
566,Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,26-113,1998,3.1,4,1.30,3,0,1,0,0,0,1,0.33,0,0,1,0,0,0,Matches
567,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,22-330,2002,2.7,4,1.49,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
568,Thijs Dallinga,nl NED,"FW,MF",Bologna,it Serie A,24-180,2000,4.9,13,2.64,8,0,0,2,2,1,2,0.41,0,0,0,0,1,1,Matches
569,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25-318,1999,21.6,40,1.85,31,4,4,0,0,1,1,0.05,1,0,0,0,0,0,Matches
570,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24-211,2000,18.9,74,3.91,54,10,3,2,1,4,16,0.85,10,3,1,0,1,1,Matches
571,Flavius Daniliuc,at AUT,DF,Hellas Verona,it Serie A,23-278,2001,8.3,8,0.96,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
572,Danilo,br BRA,MF,Nott'ham Forest,eng Premier League,23-276,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
573,Danilo,br BRA,DF,Juventus,it Serie A,33-199,1991,6.5,10,1.55,10,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
574,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,27-365,1997,2.2,2,0.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
575,Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,27-365,1997,8.9,19,2.14,12,4,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
576,Jayden Danns,eng ENG,MF,Liverpool,eng Premier League,19-014,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
577,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,20-216,2004,9.8,37,3.76,30,0,5,1,0,1,3,0.31,2,0,0,1,0,0,Matches
578,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,26-133,1998,12.0,12,1.00,12,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
579,Dante,br BRA,DF,Nice,fr Ligue 1,41-104,1983,11.3,7,0.62,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
580,Pape Daouda Diongue,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,,,0.8,1,1.23,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
581,Mohammed Daramy,dk DEN,FW,Reims,fr Ligue 1,23-023,2002,0.2,2,11.25,1,0,0,1,0,0,1,5.63,0,0,0,1,0,0,Matches
582,Bence Dárdai,de GER,MF,Wolfsburg,de Bundesliga,19-006,2006,7.6,15,1.97,10,0,0,3,2,0,2,0.26,1,0,0,0,1,0,Matches
583,Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,31-039,1993,14.7,49,3.34,23,21,2,3,0,0,2,0.14,2,0,0,0,0,0,Matches
584,Matteo Darmian,it ITA,DF,Inter,it Serie A,35-059,1989,11.9,16,1.35,11,2,0,0,2,1,3,0.25,3,0,0,0,0,0,Matches
585,Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,26-121,1998,4.6,10,2.18,7,2,1,0,0,0,1,0.22,1,0,0,0,0,0,Matches
586,Juan David Cabal,co COL,DF,Juventus,it Serie A,24-022,2001,5.1,3,0.59,3,0,0,0,0,0,3,0.59,3,0,0,0,0,0,Matches
587,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,25-016,2000,16.1,29,1.80,22,0,1,3,3,0,3,0.19,2,0,1,0,0,0,Matches
588,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,24-089,2000,15.1,56,3.72,47,0,4,3,2,0,8,0.53,6,0,1,1,0,0,Matches
589,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,31-281,1993,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
590,Keinan Davis,eng ENG,FW,Udinese,it Serie A,26-352,1998,7.6,24,3.13,19,0,2,2,0,1,2,0.26,0,0,1,1,0,0,Matches
591,Leif Davis,eng ENG,DF,Ipswich Town,eng Premier League,25-018,2000,22.5,70,3.11,32,31,3,2,1,1,4,0.18,3,0,1,0,0,0,Matches
592,Zuriko Davitashvili,ge GEO,"MF,FW",Saint-Étienne,fr Ligue 1,23-350,2001,17.1,57,3.33,29,9,10,6,3,0,7,0.41,4,0,2,0,1,0,Matches
593,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,29-255,1995,10.4,3,0.29,2,1,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
594,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,34-269,1990,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0,Matches
595,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,33-216,1991,11.0,77,6.98,55,17,1,2,1,1,10,0.91,8,1,0,1,0,0,Matches
596,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23-326,2001,15.2,55,3.62,48,0,2,4,1,0,8,0.53,7,0,0,1,0,0,Matches
597,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,30-251,1994,12.4,55,4.42,50,1,0,2,1,1,7,0.56,7,0,0,0,0,0,Matches
598,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,23-363,2001,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
599,Mattia De Sciglio,it ITA,DF,Empoli,it Serie A,32-102,1992,3.7,4,1.07,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
600,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,36-252,1988,6.0,11,1.83,8,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
601,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,26-239,1998,2.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
602,Koni De Winter,be BEL,DF,Genoa,it Serie A,22-232,2002,11.1,7,0.63,5,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
603,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,29-182,1995,9.1,18,1.99,14,1,0,1,1,1,3,0.33,2,0,0,1,0,0,Matches
604,Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28-307,1996,10.6,55,5.18,28,18,2,3,3,1,6,0.57,4,1,0,0,1,0,Matches
605,Enrico Del Prato,it ITA,DF,Parma,it Serie A,25-081,1999,18.7,20,1.07,19,0,0,0,0,1,1,0.05,0,0,0,0,0,1,Matches
606,Liam Delap,eng ENG,FW,Ipswich Town,eng Premier League,21-357,2003,18.6,41,2.20,21,0,6,2,10,2,5,0.27,2,0,1,0,2,0,Matches
607,Fisayo Dele-Bashiru,ng NGA,"MF,FW",Lazio,it Serie A,23-359,2001,7.1,18,2.53,12,0,4,2,0,0,0,0.00,0,0,0,0,0,0,Matches
608,Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,24-299,2000,0.7,1,1.34,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
609,Ali Dembélé,fr FRA,DF,Torino,it Serie A,21-025,2004,1.3,3,2.35,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
610,Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,27-260,1997,11.6,72,6.18,49,12,4,3,3,1,9,0.77,7,0,0,1,1,0,Matches
611,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,26-311,1998,12.6,32,2.54,25,0,1,4,2,0,3,0.24,2,0,0,1,0,0,Matches
612,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,23-041,2001,17.9,13,0.73,12,0,0,0,1,0,2,0.11,1,0,0,0,1,0,Matches
613,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30-298,1994,17.0,3,0.18,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
614,Justin Devenny,nir NIR,MF,Crystal Palace,eng Premier League,21-111,2003,3.0,9,3.02,7,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
615,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,eng Premier League,26-146,1998,1.5,3,1.99,3,0,0,0,0,0,1,0.66,1,0,0,0,0,0,Matches
616,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27-187,1997,17.0,1,0.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
617,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,31-179,1993,22.0,55,2.50,51,1,0,2,0,1,4,0.18,3,0,0,1,0,0,Matches
618,Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,28-075,1996,13.1,33,2.51,24,0,3,3,2,1,6,0.46,5,0,0,1,0,0,Matches
619,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,28-042,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
620,Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,19-130,2005,3.0,11,3.68,5,1,1,1,2,1,1,0.33,0,0,0,1,0,0,Matches
621,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,24-024,2001,19.0,11,0.58,10,0,0,1,0,0,1,0.05,1,0,0,0,0,0,Matches
622,Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,21-041,2003,14.5,35,2.42,27,0,2,5,1,0,4,0.28,4,0,0,0,0,0,Matches
623,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,eng Premier League,22-203,2002,16.7,73,4.37,50,7,6,2,4,4,16,0.96,7,0,3,1,1,4,Matches
624,Assane Diao,es ESP,"FW,MF",Como,it Serie A,19-145,2005,3.8,5,1.32,2,0,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
625,Assane Diao,es ESP,FW,Betis,es La Liga,19-145,2005,3.1,7,2.28,6,0,0,1,0,0,2,0.65,2,0,0,0,0,0,Matches
626,Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,21-027,2004,17.2,32,1.86,27,0,0,1,4,0,6,0.35,4,0,0,0,2,0,Matches
627,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,24-081,2000,13.4,8,0.60,6,0,0,0,2,0,3,0.22,2,0,0,0,1,0,Matches
628,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,27-261,1997,13.1,17,1.30,11,0,0,4,0,2,0,0.00,0,0,0,0,0,0,Matches
629,Krépin Diatta,sn SEN,DF,Monaco,fr Ligue 1,25-340,1999,2.4,5,2.11,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
630,Kandet Diawara,gn GUI,FW,Le Havre,fr Ligue 1,24-355,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
631,Mahamadou Diawara,fr FRA,MF,Le Havre,fr Ligue 1,19-348,2005,0.5,3,6.00,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
632,Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,19-348,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
633,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,es La Liga,25-180,1999,8.6,36,4.19,28,0,5,2,0,1,9,1.05,6,0,1,1,0,1,Matches
634,Luis Díaz,co COL,FW,Liverpool,eng Premier League,28-017,1997,14.9,69,4.64,49,0,11,7,2,0,10,0.67,8,0,1,0,1,0,Matches
635,Pedro Díaz,es ESP,"MF,FW",Rayo Vallecano,es La Liga,26-239,1998,2.4,12,5.02,8,3,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
636,Tyler Dibling,eng ENG,"FW,MF",Southampton,eng Premier League,18-324,2006,13.7,40,2.93,23,1,9,3,4,0,3,0.22,2,0,1,0,0,0,Matches
637,Diego,es ESP,"FW,MF",Leganés,es La Liga,24-287,2000,4.7,7,1.49,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
638,Justin Diehl,de GER,"FW,DF",Stuttgart,de Bundesliga,20-064,2004,0.9,4,4.34,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
639,Bamba Dieng,sn SEN,"FW,MF",Angers,fr Ligue 1,24-313,2000,4.7,5,1.06,3,0,1,0,1,0,1,0.21,0,0,0,0,1,0,Matches
640,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,31-015,1994,4.3,3,0.70,3,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
641,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,31-194,1993,19.2,48,2.50,30,12,1,4,0,1,4,0.21,4,0,0,0,0,0,Matches
642,Kembo Diliwidi,fr FRA,DF,Lens,fr Ligue 1,18-362,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
643,Federico Dimarco,it ITA,"DF,FW",Inter,it Serie A,27-081,1997,15.7,65,4.15,37,18,2,6,2,0,8,0.51,6,1,0,1,0,0,Matches
644,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31-036,1993,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
645,Junior Dina Ebimbe,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,24-070,2000,3.1,6,1.93,2,0,0,2,2,0,1,0.32,1,0,0,0,0,0,Matches
646,Eren Dinkçi,de GER,MF,Freiburg,de Bundesliga,23-048,2001,9.9,36,3.62,31,0,2,1,2,0,4,0.40,4,0,0,0,0,0,Matches
647,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,23-296,2001,11.8,15,1.27,13,0,0,2,0,0,4,0.34,2,0,0,2,0,0,Matches
648,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,32-041,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
649,Issa Diop,fr FRA,DF,Fulham,eng Premier League,28-021,1997,11.9,5,0.42,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
650,Sofiane Diop,fr FRA,"MF,FW",Nice,fr Ligue 1,24-235,2000,8.0,29,3.61,21,4,0,2,2,0,7,0.87,5,1,0,0,1,0,Matches
651,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,21-258,2003,14.4,44,3.06,35,1,3,3,2,0,1,0.07,1,0,0,0,0,0,Matches
652,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,25-075,1999,19.0,5,0.26,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
653,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,27-132,1997,2.1,4,1.89,2,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
